period,market_date,execution_date,decision_time,is_update,reference_history_available,current_reference_year_return,calendar_enabled,calendar_budget,learned_budget,has_valid_activation_decision,last_valid_evidence_date,last_valid_reference_year_return,activation_status
evaluation,2019-12-31,2020-01-02,2020-01-02 09:00:00,True,True,0.16953052395735635,True,0.5,0.5,True,2019-12-31,0.16953052395735635,按过去一年净盈利，启用日历一半预算
evaluation,2020-01-23,2020-02-03,2020-02-03 09:00:00,True,True,0.14536348834913035,True,0.5,0.5,True,2020-01-23,0.14536348834913035,按过去一年净盈利，启用日历一半预算
evaluation,2020-02-28,2020-03-02,2020-03-02 09:00:00,True,True,0.04721202690047781,True,0.5,0.5,True,2020-02-28,0.04721202690047781,按过去一年净盈利，启用日历一半预算
evaluation,2020-03-31,2020-04-01,2020-04-01 09:00:00,True,True,-0.0018789869337960084,False,0.0,1.0,True,2020-03-31,-0.0018789869337960084,过去一年未净盈利，全部预算交给原学习状态
evaluation,2020-04-30,2020-05-06,2020-05-06 09:00:00,True,True,0.09639613063828334,True,0.5,0.5,True,2020-04-30,0.09639613063828334,按过去一年净盈利，启用日历一半预算
evaluation,2020-05-29,2020-06-01,2020-06-01 09:00:00,True,True,0.12078058677043255,True,0.5,0.5,True,2020-05-29,0.12078058677043255,按过去一年净盈利，启用日历一半预算
evaluation,2020-06-30,2020-07-01,2020-07-01 09:00:00,True,True,0.12830080063475732,True,0.5,0.5,True,2020-06-30,0.12830080063475732,按过去一年净盈利，启用日历一半预算
evaluation,2020-07-31,2020-08-03,2020-08-03 09:00:00,True,True,0.2937298215010087,True,0.5,0.5,True,2020-07-31,0.2937298215010087,按过去一年净盈利，启用日历一半预算
evaluation,2020-08-31,2020-09-01,2020-09-01 09:00:00,True,True,0.40725134679228164,True,0.5,0.5,True,2020-08-31,0.40725134679228164,按过去一年净盈利，启用日历一半预算
evaluation,2020-09-30,2020-10-09,2020-10-09 09:00:00,True,True,0.36634542117539876,True,0.5,0.5,True,2020-09-30,0.36634542117539876,按过去一年净盈利，启用日历一半预算
evaluation,2020-10-30,2020-11-02,2020-11-02 09:00:00,True,True,0.43958264434412464,True,0.5,0.5,True,2020-10-30,0.43958264434412464,按过去一年净盈利，启用日历一半预算
evaluation,2020-11-30,2020-12-01,2020-12-01 09:00:00,True,True,0.48521034006534913,True,0.5,0.5,True,2020-11-30,0.48521034006534913,按过去一年净盈利，启用日历一半预算
evaluation,2020-12-31,2021-01-04,2021-01-04 09:00:00,True,True,0.5035085817812195,True,0.5,0.5,True,2020-12-31,0.5035085817812195,按过去一年净盈利，启用日历一半预算
evaluation,2021-01-29,2021-02-01,2021-02-01 09:00:00,True,True,0.4888066427151037,True,0.5,0.5,True,2021-01-29,0.4888066427151037,按过去一年净盈利，启用日历一半预算
evaluation,2021-02-26,2021-03-01,2021-03-01 09:00:00,True,True,0.49153041688550386,True,0.5,0.5,True,2021-02-26,0.49153041688550386,按过去一年净盈利，启用日历一半预算
evaluation,2021-03-31,2021-04-01,2021-04-01 09:00:00,True,True,0.45664225620345145,True,0.5,0.5,True,2021-03-31,0.45664225620345145,按过去一年净盈利，启用日历一半预算
evaluation,2021-04-30,2021-05-06,2021-05-06 09:00:00,True,True,0.39482697427218105,True,0.5,0.5,True,2021-04-30,0.39482697427218105,按过去一年净盈利，启用日历一半预算
evaluation,2021-05-31,2021-06-01,2021-06-01 09:00:00,True,True,0.30595797316705436,True,0.5,0.5,True,2021-05-31,0.30595797316705436,按过去一年净盈利，启用日历一半预算
evaluation,2021-06-30,2021-07-01,2021-07-01 09:00:00,True,True,0.20805236236159072,True,0.5,0.5,True,2021-06-30,0.20805236236159072,按过去一年净盈利，启用日历一半预算
evaluation,2021-07-30,2021-08-02,2021-08-02 09:00:00,True,True,0.05622382785658942,True,0.5,0.5,True,2021-07-30,0.05622382785658942,按过去一年净盈利，启用日历一半预算
evaluation,2021-08-31,2021-09-01,2021-09-01 09:00:00,True,True,0.053686425809954065,True,0.5,0.5,True,2021-08-31,0.053686425809954065,按过去一年净盈利，启用日历一半预算
evaluation,2021-09-30,2021-10-08,2021-10-08 09:00:00,True,True,0.07978084933669365,True,0.5,0.5,True,2021-09-30,0.07978084933669365,按过去一年净盈利，启用日历一半预算
evaluation,2021-10-29,2021-11-01,2021-11-01 09:00:00,True,True,0.015049224173184262,True,0.5,0.5,True,2021-10-29,0.015049224173184262,按过去一年净盈利，启用日历一半预算
evaluation,2021-11-30,2021-12-01,2021-12-01 09:00:00,True,True,-0.07324442988360173,False,0.0,1.0,True,2021-11-30,-0.07324442988360173,过去一年未净盈利，全部预算交给原学习状态
evaluation,2021-12-31,2022-01-04,2022-01-04 09:00:00,True,True,-0.09314942644256018,False,0.0,1.0,True,2021-12-31,-0.09314942644256018,过去一年未净盈利，全部预算交给原学习状态
evaluation,2022-01-28,2022-02-07,2022-02-07 09:00:00,True,True,-0.13896713976796013,False,0.0,1.0,True,2022-01-28,-0.13896713976796013,过去一年未净盈利，全部预算交给原学习状态
evaluation,2022-02-28,2022-03-01,2022-03-01 09:00:00,True,True,-0.11573133928483206,False,0.0,1.0,True,2022-02-28,-0.11573133928483206,过去一年未净盈利，全部预算交给原学习状态
evaluation,2022-03-31,2022-04-01,2022-04-01 09:00:00,True,True,-0.11981102954450504,False,0.0,1.0,True,2022-03-31,-0.11981102954450504,过去一年未净盈利，全部预算交给原学习状态
