period,calendar_enabled,calendar_state,learned_state,target,decision_days
evaluation,False,0.0,0.0,0.0,399
evaluation,False,0.0,1.0,1.0,67
evaluation,False,1.0,0.0,0.0,200
evaluation,False,1.0,1.0,1.0,25
evaluation,True,0.0,0.0,0.0,508
evaluation,True,0.0,1.0,0.5,120
evaluation,True,1.0,0.0,0.5,244
evaluation,True,1.0,1.0,1.0,41
earlier_diagnostic,False,0.0,0.0,0.0,373
earlier_diagnostic,False,0.0,1.0,1.0,84
earlier_diagnostic,False,1.0,0.0,0.0,172
earlier_diagnostic,False,1.0,1.0,1.0,41
earlier_diagnostic,True,0.0,0.0,0.0,254
earlier_diagnostic,True,0.0,1.0,0.5,122
earlier_diagnostic,True,1.0,0.0,0.5,121
earlier_diagnostic,True,1.0,1.0,1.0,52
