ts_code,sec_name,anchor_period,metric_id,anchor_announcement_id,annual_announcement_id,prior_quarter_announcement_id,latest_component_publication_date,original_three_report_arithmetic,current_report_comparative_prior,current_comparative_minus_original,annual_vintage_prior_ytd,annual_vintage_minus_original,annual_vintage_residual_plus_current,originals_currency_explicit,original_arithmetic_status,comparison_status,quarter_bridge_status,research_value_status,full_accounting_basis_reconciliation_completed,basic_eps_arithmetic_performed,known_policy_evidence
601328.SH,交通银行,2018-09-30,OPERATING_REVENUE_YTD,1205547286,1204547754,1204089363,2018-10-27,204127000000,149790000000,74000000,,,,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,LATER_COMPARATIVE_DIFFERS_FROM_ORIGINAL_PRIOR,NO_VIEW_NO_ANNUAL_QUARTER_BREAKDOWN_FOR_METRIC,NO_VIEW_KNOWN_NEW_INSTRUMENT_RULES_WITHOUT_PRIOR_RESTATEMENT,False,False,"{'pages': [3, 4], 'kind': 'NEW_FINANCIAL_INSTRUMENT_RULES_NOT_RESTATED_WITH_PRESENTATION_RECLASSIFICATION', 'description': '交通银行2018年改用新金融工具准则，前期不重述；另有列报重分类。归母比较数相同也不能证明准则完全可比。', 'source': {'announcement_id': '1205547286', 'ts_code': '601328.SH', 'sec_name': '交通银行', 'report_period': '2018-09-30 00:00:00', 'event_publication_date': '2018-10-27 00:00:00', 'official_pdf_url': 'https://static.cninfo.com.cn/finalpage/2018-10-27/1205547286.PDF', 'retrieved_at': '2026-09-06T16:36:36.938349+08:00', 'status': 'PDF_ARCHIVED_FIRST_TWELVE_PAGES_EXTRACTED_PENDING_FACT_VALIDATION', 'raw_path': 'data/raw/510300_original_earnings_source_completion_v1/1205547286.pdf', 'sha256': 'c2d5e10de5de60aeb185e91ebf1da60f5012d85878e211654f5355f68b3af876', 'bytes': 578757, 'page_count': 22, 'individually_verified_financial_facts': False, 'used_in_round_eight': False}, 'raw_pages': [{'page': 3, 'text': '2018 年第三季度报告 \r\n2\r\n一、重要提示 \r\n1.1 交通银行股份有限公司（“本行”）董事会、监事会及董事、监事、高级管\r\n理人员保证季度报告内容的真实、准确、完整，不存在虚假记载、误导性陈述或者重\r\n大遗漏，并承担个别和连带的法律责任。\r\n1.2 本行第八届董事会第二十一次会议于 2018 年 10 月 26 日审议通过了本行及附\r\n属公司（“本集团”）2018 年第三季度报告（“第三季度报告”）。出席会议应到董\r\n事 17 名，亲自出席董事 15 名, 彭纯董事长、王冬胜副董事长分别书面委托任德奇副\r\n董事长、黄碧娟非执行董事出席会议并代为行使表决权。\r\n1.3 本行法定代表人彭纯先生、主管会计工作负责人吴伟先生及会计机构负责人\r\n林至红女士保证季度报告中财务报表的真实、准确、完整。\r\n1.4 本行第三季度报告未经审计。\r\n二、公司基本情况 \r\n2.1 主要财务数据 \r\n本集团于 2018 年 1 月 1 日起执行新金融工具会计准则，根据新准则的衔接规\r\n定，本集团对前期可比数不做重述，首日执行新准则与原准则的差异调整计入期初未\r\n分配利润或其他综合收益。相关影响详见本行刊载于上海证券交易所网站的 2018 年\r\n半年度报告。 \r\n截至 2018 年 9 月 30 日（“报告期末”），本集团按照中国会计准则要求编制的\r\n主要会计数据和财务指标如下：\r\n （除另有标明外，人民币百万元）\r\n主要会计数据 2018 年 9 月 30 日 2017 年 12 月 31 日 增减(%)\r\n资产总额 9,391,537 9,038,254 3.91\r\n客户贷款 1\r\n4,852,048 4,579,256 5.96\r\n负债总额 8,702,452 8,361,983 4.07\r\n客户存款 1\r\n5,705,985 5,545,366 2.90\r\n股东权益（归属于母公司股东） 682,458 671,143 1.69\r\n每股净资产（归属于母公司股东，元）2\r\n8.38 8.23 1.82'}, {'page': 4, 'text': '2018 年第三季度报告 \r\n3\r\n2018 年 1-9 月 2017 年 1-9 月 增减(%)\r\n营业收入 1\r\n157,832 149,790 5.37\r\n净利润（归属于母公司股东） 57,304 54,419 5.30\r\n扣除非经常性损益的净利润（归属于母\r\n公司股东）3\r\n57,017 53,986 5.61\r\n基本及稀释每股收益（加权平均，元）4\r\n0.74 0.70 5.71\r\n经营活动产生的现金流量净额 126,288 28,669 340.50\r\n主要财务指标（%） 2018年1-9月 2017 年 1-9 月\r\n变化\r\n（百分点）\r\n加权平均净资产收益率（年化）4\r\n11.69 11.88 -0.19\r\n平均资产回报率（年化） 0.83 0.84 -0.01\r\n注：\r\n1. 因财务报表项目列报口径的变化，同期比较数据已按照当期列报口径进行了重述。下同。\r\n2. 为报告期末扣除其他权益工具后的归属于母公司的股东权益除以报告期末普通股股本总数。\r\n3. 按照中国证券监督管理委员会（“中国证监会”）发布的《公开发行证券的公司信息披露解释性公告第 1\r\n号——非经常性损益(2008)》要求计算。\r\n4. 按照中国证监会发布的《公开发行证券的公司信息披露编报规则第 9 号——净资产收益率和每股收益的计算\r\n及披露》（2010 年修订）要求计算。\r\n2.2 非经常性损益项目\r\n（人民币百万元）\r\n项 目 2018 年 1-9 月 2017 年 1-9 月\r\n处置固定资产、无形资产产生的损益 19 66\r\n采用公允价值模式进行后续计量的投资性房地产公允\r\n价值变动产生的损益 33 64\r\n其他应扣除的营业外收支净额 373 467\r\n非经常性损益的所得税影响 (132) (164)\r\n少数股东权益影响额（税后） (6) -\r\n归属于公司普通股股东的非经常性损益合计 287 433\r\n \r\n2.3 截至报告期末的普通股股东总数、前十名普通股股东持股情况表\r\n \r\n普通股股东总数 普通股股东户数 A 股 319,317 户，H 股 35,137 户，合计为\r\n354,454 户。\r\n前十名普通股股东持股情况\r\n股东名称（全称） 期末持股\r\n数量（股）\r\n比例\r\n(%)\r\n质押或冻结\r\n情况 股份类\r\n别\r\n股东性质 股份\r\n状态 数量'}]}"
601328.SH,交通银行,2018-09-30,OPERATING_PROFIT_YTD,1205547286,1204547754,1204089363,2018-10-27,84164000000,65481000000,74000000,,,,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,LATER_COMPARATIVE_DIFFERS_FROM_ORIGINAL_PRIOR,NO_VIEW_NO_ANNUAL_QUARTER_BREAKDOWN_FOR_METRIC,NO_VIEW_KNOWN_NEW_INSTRUMENT_RULES_WITHOUT_PRIOR_RESTATEMENT,False,False,"{'pages': [3, 4], 'kind': 'NEW_FINANCIAL_INSTRUMENT_RULES_NOT_RESTATED_WITH_PRESENTATION_RECLASSIFICATION', 'description': '交通银行2018年改用新金融工具准则，前期不重述；另有列报重分类。归母比较数相同也不能证明准则完全可比。', 'source': {'announcement_id': '1205547286', 'ts_code': '601328.SH', 'sec_name': '交通银行', 'report_period': '2018-09-30 00:00:00', 'event_publication_date': '2018-10-27 00:00:00', 'official_pdf_url': 'https://static.cninfo.com.cn/finalpage/2018-10-27/1205547286.PDF', 'retrieved_at': '2026-09-06T16:36:36.938349+08:00', 'status': 'PDF_ARCHIVED_FIRST_TWELVE_PAGES_EXTRACTED_PENDING_FACT_VALIDATION', 'raw_path': 'data/raw/510300_original_earnings_source_completion_v1/1205547286.pdf', 'sha256': 'c2d5e10de5de60aeb185e91ebf1da60f5012d85878e211654f5355f68b3af876', 'bytes': 578757, 'page_count': 22, 'individually_verified_financial_facts': False, 'used_in_round_eight': False}, 'raw_pages': [{'page': 3, 'text': '2018 年第三季度报告 \r\n2\r\n一、重要提示 \r\n1.1 交通银行股份有限公司（“本行”）董事会、监事会及董事、监事、高级管\r\n理人员保证季度报告内容的真实、准确、完整，不存在虚假记载、误导性陈述或者重\r\n大遗漏，并承担个别和连带的法律责任。\r\n1.2 本行第八届董事会第二十一次会议于 2018 年 10 月 26 日审议通过了本行及附\r\n属公司（“本集团”）2018 年第三季度报告（“第三季度报告”）。出席会议应到董\r\n事 17 名，亲自出席董事 15 名, 彭纯董事长、王冬胜副董事长分别书面委托任德奇副\r\n董事长、黄碧娟非执行董事出席会议并代为行使表决权。\r\n1.3 本行法定代表人彭纯先生、主管会计工作负责人吴伟先生及会计机构负责人\r\n林至红女士保证季度报告中财务报表的真实、准确、完整。\r\n1.4 本行第三季度报告未经审计。\r\n二、公司基本情况 \r\n2.1 主要财务数据 \r\n本集团于 2018 年 1 月 1 日起执行新金融工具会计准则，根据新准则的衔接规\r\n定，本集团对前期可比数不做重述，首日执行新准则与原准则的差异调整计入期初未\r\n分配利润或其他综合收益。相关影响详见本行刊载于上海证券交易所网站的 2018 年\r\n半年度报告。 \r\n截至 2018 年 9 月 30 日（“报告期末”），本集团按照中国会计准则要求编制的\r\n主要会计数据和财务指标如下：\r\n （除另有标明外，人民币百万元）\r\n主要会计数据 2018 年 9 月 30 日 2017 年 12 月 31 日 增减(%)\r\n资产总额 9,391,537 9,038,254 3.91\r\n客户贷款 1\r\n4,852,048 4,579,256 5.96\r\n负债总额 8,702,452 8,361,983 4.07\r\n客户存款 1\r\n5,705,985 5,545,366 2.90\r\n股东权益（归属于母公司股东） 682,458 671,143 1.69\r\n每股净资产（归属于母公司股东，元）2\r\n8.38 8.23 1.82'}, {'page': 4, 'text': '2018 年第三季度报告 \r\n3\r\n2018 年 1-9 月 2017 年 1-9 月 增减(%)\r\n营业收入 1\r\n157,832 149,790 5.37\r\n净利润（归属于母公司股东） 57,304 54,419 5.30\r\n扣除非经常性损益的净利润（归属于母\r\n公司股东）3\r\n57,017 53,986 5.61\r\n基本及稀释每股收益（加权平均，元）4\r\n0.74 0.70 5.71\r\n经营活动产生的现金流量净额 126,288 28,669 340.50\r\n主要财务指标（%） 2018年1-9月 2017 年 1-9 月\r\n变化\r\n（百分点）\r\n加权平均净资产收益率（年化）4\r\n11.69 11.88 -0.19\r\n平均资产回报率（年化） 0.83 0.84 -0.01\r\n注：\r\n1. 因财务报表项目列报口径的变化，同期比较数据已按照当期列报口径进行了重述。下同。\r\n2. 为报告期末扣除其他权益工具后的归属于母公司的股东权益除以报告期末普通股股本总数。\r\n3. 按照中国证券监督管理委员会（“中国证监会”）发布的《公开发行证券的公司信息披露解释性公告第 1\r\n号——非经常性损益(2008)》要求计算。\r\n4. 按照中国证监会发布的《公开发行证券的公司信息披露编报规则第 9 号——净资产收益率和每股收益的计算\r\n及披露》（2010 年修订）要求计算。\r\n2.2 非经常性损益项目\r\n（人民币百万元）\r\n项 目 2018 年 1-9 月 2017 年 1-9 月\r\n处置固定资产、无形资产产生的损益 19 66\r\n采用公允价值模式进行后续计量的投资性房地产公允\r\n价值变动产生的损益 33 64\r\n其他应扣除的营业外收支净额 373 467\r\n非经常性损益的所得税影响 (132) (164)\r\n少数股东权益影响额（税后） (6) -\r\n归属于公司普通股股东的非经常性损益合计 287 433\r\n \r\n2.3 截至报告期末的普通股股东总数、前十名普通股股东持股情况表\r\n \r\n普通股股东总数 普通股股东户数 A 股 319,317 户，H 股 35,137 户，合计为\r\n354,454 户。\r\n前十名普通股股东持股情况\r\n股东名称（全称） 期末持股\r\n数量（股）\r\n比例\r\n(%)\r\n质押或冻结\r\n情况 股份类\r\n别\r\n股东性质 股份\r\n状态 数量'}]}"
601328.SH,交通银行,2018-09-30,PARENT_NET_PROFIT_YTD,1205547286,1204547754,1204089363,2018-10-27,73108000000,54419000000,0,,,,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,SAME_REPORTED_VALUE_AS_ORIGINAL_PRIOR,NO_VIEW_NO_ANNUAL_QUARTER_BREAKDOWN_FOR_METRIC,NO_VIEW_KNOWN_NEW_INSTRUMENT_RULES_WITHOUT_PRIOR_RESTATEMENT,False,False,"{'pages': [3, 4], 'kind': 'NEW_FINANCIAL_INSTRUMENT_RULES_NOT_RESTATED_WITH_PRESENTATION_RECLASSIFICATION', 'description': '交通银行2018年改用新金融工具准则，前期不重述；另有列报重分类。归母比较数相同也不能证明准则完全可比。', 'source': {'announcement_id': '1205547286', 'ts_code': '601328.SH', 'sec_name': '交通银行', 'report_period': '2018-09-30 00:00:00', 'event_publication_date': '2018-10-27 00:00:00', 'official_pdf_url': 'https://static.cninfo.com.cn/finalpage/2018-10-27/1205547286.PDF', 'retrieved_at': '2026-09-06T16:36:36.938349+08:00', 'status': 'PDF_ARCHIVED_FIRST_TWELVE_PAGES_EXTRACTED_PENDING_FACT_VALIDATION', 'raw_path': 'data/raw/510300_original_earnings_source_completion_v1/1205547286.pdf', 'sha256': 'c2d5e10de5de60aeb185e91ebf1da60f5012d85878e211654f5355f68b3af876', 'bytes': 578757, 'page_count': 22, 'individually_verified_financial_facts': False, 'used_in_round_eight': False}, 'raw_pages': [{'page': 3, 'text': '2018 年第三季度报告 \r\n2\r\n一、重要提示 \r\n1.1 交通银行股份有限公司（“本行”）董事会、监事会及董事、监事、高级管\r\n理人员保证季度报告内容的真实、准确、完整，不存在虚假记载、误导性陈述或者重\r\n大遗漏，并承担个别和连带的法律责任。\r\n1.2 本行第八届董事会第二十一次会议于 2018 年 10 月 26 日审议通过了本行及附\r\n属公司（“本集团”）2018 年第三季度报告（“第三季度报告”）。出席会议应到董\r\n事 17 名，亲自出席董事 15 名, 彭纯董事长、王冬胜副董事长分别书面委托任德奇副\r\n董事长、黄碧娟非执行董事出席会议并代为行使表决权。\r\n1.3 本行法定代表人彭纯先生、主管会计工作负责人吴伟先生及会计机构负责人\r\n林至红女士保证季度报告中财务报表的真实、准确、完整。\r\n1.4 本行第三季度报告未经审计。\r\n二、公司基本情况 \r\n2.1 主要财务数据 \r\n本集团于 2018 年 1 月 1 日起执行新金融工具会计准则，根据新准则的衔接规\r\n定，本集团对前期可比数不做重述，首日执行新准则与原准则的差异调整计入期初未\r\n分配利润或其他综合收益。相关影响详见本行刊载于上海证券交易所网站的 2018 年\r\n半年度报告。 \r\n截至 2018 年 9 月 30 日（“报告期末”），本集团按照中国会计准则要求编制的\r\n主要会计数据和财务指标如下：\r\n （除另有标明外，人民币百万元）\r\n主要会计数据 2018 年 9 月 30 日 2017 年 12 月 31 日 增减(%)\r\n资产总额 9,391,537 9,038,254 3.91\r\n客户贷款 1\r\n4,852,048 4,579,256 5.96\r\n负债总额 8,702,452 8,361,983 4.07\r\n客户存款 1\r\n5,705,985 5,545,366 2.90\r\n股东权益（归属于母公司股东） 682,458 671,143 1.69\r\n每股净资产（归属于母公司股东，元）2\r\n8.38 8.23 1.82'}, {'page': 4, 'text': '2018 年第三季度报告 \r\n3\r\n2018 年 1-9 月 2017 年 1-9 月 增减(%)\r\n营业收入 1\r\n157,832 149,790 5.37\r\n净利润（归属于母公司股东） 57,304 54,419 5.30\r\n扣除非经常性损益的净利润（归属于母\r\n公司股东）3\r\n57,017 53,986 5.61\r\n基本及稀释每股收益（加权平均，元）4\r\n0.74 0.70 5.71\r\n经营活动产生的现金流量净额 126,288 28,669 340.50\r\n主要财务指标（%） 2018年1-9月 2017 年 1-9 月\r\n变化\r\n（百分点）\r\n加权平均净资产收益率（年化）4\r\n11.69 11.88 -0.19\r\n平均资产回报率（年化） 0.83 0.84 -0.01\r\n注：\r\n1. 因财务报表项目列报口径的变化，同期比较数据已按照当期列报口径进行了重述。下同。\r\n2. 为报告期末扣除其他权益工具后的归属于母公司的股东权益除以报告期末普通股股本总数。\r\n3. 按照中国证券监督管理委员会（“中国证监会”）发布的《公开发行证券的公司信息披露解释性公告第 1\r\n号——非经常性损益(2008)》要求计算。\r\n4. 按照中国证监会发布的《公开发行证券的公司信息披露编报规则第 9 号——净资产收益率和每股收益的计算\r\n及披露》（2010 年修订）要求计算。\r\n2.2 非经常性损益项目\r\n（人民币百万元）\r\n项 目 2018 年 1-9 月 2017 年 1-9 月\r\n处置固定资产、无形资产产生的损益 19 66\r\n采用公允价值模式进行后续计量的投资性房地产公允\r\n价值变动产生的损益 33 64\r\n其他应扣除的营业外收支净额 373 467\r\n非经常性损益的所得税影响 (132) (164)\r\n少数股东权益影响额（税后） (6) -\r\n归属于公司普通股股东的非经常性损益合计 287 433\r\n \r\n2.3 截至报告期末的普通股股东总数、前十名普通股股东持股情况表\r\n \r\n普通股股东总数 普通股股东户数 A 股 319,317 户，H 股 35,137 户，合计为\r\n354,454 户。\r\n前十名普通股股东持股情况\r\n股东名称（全称） 期末持股\r\n数量（股）\r\n比例\r\n(%)\r\n质押或冻结\r\n情况 股份类\r\n别\r\n股东性质 股份\r\n状态 数量'}]}"
601288.SH,农业银行,2021-09-30,OPERATING_REVENUE_YTD,1211420908,1209490205,1208663570,2021-10-29,704614000000,498244000000,0,498244000000,0,704614000000,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,SAME_REPORTED_VALUE_AS_ORIGINAL_PRIOR,ANNUAL_QUARTERS_AGREE_WITH_CURRENT_COMPARATIVE,VALUE_WITH_MATCHED_ANNUAL_QUARTER_BRIDGE_ONLY_CONTINUOUS_HISTORY_REQUIRED,False,False,
601288.SH,农业银行,2021-09-30,OPERATING_PROFIT_YTD,1211420908,1209490205,1208663570,2021-10-29,,200206000000,,,,,False,NO_VIEW_MISSING_ORIGINAL_METRIC,NO_VIEW_ORIGINAL_PRIOR_METRIC_MISSING,NO_VIEW_NO_ANNUAL_QUARTER_BREAKDOWN_FOR_METRIC,NOT_ADMITTED_TO_STRATEGY,False,False,
601288.SH,农业银行,2021-09-30,PARENT_NET_PROFIT_YTD,1211420908,1209490205,1208663570,2021-10-29,237299000000,165335000000,0,165335000000,0,237299000000,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,SAME_REPORTED_VALUE_AS_ORIGINAL_PRIOR,ANNUAL_QUARTERS_AGREE_WITH_CURRENT_COMPARATIVE,VALUE_WITH_MATCHED_ANNUAL_QUARTER_BRIDGE_ONLY_CONTINUOUS_HISTORY_REQUIRED,False,False,
601939.SH,建设银行,2022-03-31,OPERATING_REVENUE_YTD,1213271093,1212730963,1209861041,2022-04-30,839953000000,216523000000,0,216523000000,0,839953000000,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,SAME_REPORTED_VALUE_AS_ORIGINAL_PRIOR,ANNUAL_QUARTERS_AGREE_WITH_CURRENT_COMPARATIVE,VALUE_WITH_MATCHED_ANNUAL_QUARTER_BRIDGE_ONLY_CONTINUOUS_HISTORY_REQUIRED,False,False,
601939.SH,建设银行,2022-03-31,OPERATING_PROFIT_YTD,1213271093,1212730963,1209861041,2022-04-30,,,,,,,False,NO_VIEW_MISSING_ORIGINAL_METRIC,NO_VIEW_NOT_EVALUATED,NO_VIEW_NO_ANNUAL_QUARTER_BREAKDOWN_FOR_METRIC,NOT_ADMITTED_TO_STRATEGY,False,False,
601939.SH,建设银行,2022-03-31,PARENT_NET_PROFIT_YTD,1213271093,1212730963,1209861041,2022-04-30,308139000000,83115000000,0,83115000000,0,308139000000,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,SAME_REPORTED_VALUE_AS_ORIGINAL_PRIOR,ANNUAL_QUARTERS_AGREE_WITH_CURRENT_COMPARATIVE,VALUE_WITH_MATCHED_ANNUAL_QUARTER_BRIDGE_ONLY_CONTINUOUS_HISTORY_REQUIRED,False,False,
601628.SH,中国人寿,2022-09-30,OPERATING_REVENUE_YTD,1214937073,1212669927,1211419194,2022-10-28,831806000000,727785000000,74000000,727786000000,75000000,831731000000,True,ARITHMETIC_COMPLETE_EXPLICIT_CNY,LATER_COMPARATIVE_DIFFERS_FROM_ORIGINAL_PRIOR,NO_VIEW_ANNUAL_QUARTERS_DIFFER_FROM_CURRENT_COMPARATIVE,NOT_ADMITTED_TO_STRATEGY,False,False,"{'pages': [2], 'kind': 'COMMON_CONTROL_COMBINATION_RESTATEMENT', 'description': '中国人寿次年报告说明上年发生同一控制下合并，前三季度数据重述。', 'source': {'announcement_id': '1214937073', 'ts_code': '601628.SH', 'sec_name': '中国人寿', 'report_period': '2022-09-30 00:00:00', 'event_publication_date': '2022-10-28 00:00:00', 'official_pdf_url': 'https://static.cninfo.com.cn/finalpage/2022-10-28/1214937073.PDF', 'retrieved_at': '2026-09-06T16:36:19.109762+08:00', 'status': 'PDF_ARCHIVED_FIRST_TWELVE_PAGES_EXTRACTED_PENDING_FACT_VALIDATION', 'raw_path': 'data/raw/510300_original_earnings_source_completion_v1/1214937073.pdf', 'sha256': '719b1eb6e027257872b5ed1b293e940d14f4dc338585db091e4a74ac2c93fb13', 'bytes': 559547, 'page_count': 13, 'individually_verified_financial_facts': False, 'used_in_round_eight': False}, 'raw_pages': [{'page': 2, 'text': '中国人寿保险股份有限公司 2022 年第三季度报告\r\n2\r\n项目 \r\n本报告期 \r\n（7-9 月） \r\n上年同期 \r\n本报告期\r\n比上年同\r\n期增减变\r\n动幅度 \r\n年初至报\r\n告期末 \r\n（1-9 月） \r\n上年同期 \r\n年初至报\r\n告期末比\r\n上年同期\r\n增减变动\r\n幅度 \r\n调整后 调整前 调整后 调整后 调整后 调整前 调整后 \r\n营业收入\r\n（百万元） 172,714 175,136 175,110 -1.4% 701,012 727,785 727,711 -3.7%\r\n归属于母公司\r\n股东的净利润\r\n（百万元）\r\n5,701 7,518 7,527 -24.2% 31,117 48,486 48,502 -35.8%\r\n扣除非经常性\r\n损益后归属于\r\n母公司股东的\r\n净利润\r\n（百万元）\r\n5,735 7,578 7,587 -24.3% 31,182 48,651 48,667 -35.9%\r\n经营活动产生\r\n的现金流量净\r\n额（百万元）\r\n不适用 不适用 不适用 不适用 288,755 246,373 246,388 17.2%\r\n每股收益（基\r\n本与稀释）\r\n（元/股）\r\n0.20 0.27 0.27 -24.2% 1.10 1.72 1.72 -35.8%\r\n加权平均净资\r\n产收益率\r\n（%）\r\n1.22 1.60 1.60 下降 0.38\r\n个百分点 6.63 10.46 10.47 下降 3.83\r\n个百分点\r\n注：\r\n1.因 2021 年发生同一控制下企业合并，本报告 2021 年前三季度财务数据已经重述。\r\n2.在计算“每股收益（基本与稀释）”的变动比率时考虑了基础数据的尾数因素。\r\n（二） 非经常性损益项目和金额\r\n单位：人民币百万元\r\n非经常性损益项目 本报告期 \r\n （7-9 月）\r\n年初至报告期末 \r\n （1-9 月） \r\n非流动资产处置损益 40 74 \r\n计入当期损益的政府补助 17 98 \r\n除上述各项之外的其他营业外收支净额 (100) (236)\r\n所得税影响数 11 16 \r\n少数股东应承担的部分 (2) (17)\r\n合计 (34) (65)'}]}"
