period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,72,72,0,31,31,0,459
evaluation,STRESS,72,72,0,31,31,0,459
earlier_diagnostic,BASE,220,16,204,4,9,0,440
earlier_diagnostic,STRESS,220,16,204,4,9,0,440
