period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return,net_profit_137,net_profit_difference
evaluation,BASE,1,2020-02-05,2020-02-04,56044.00656,4159.300000000008,26.801080000000002,71.70000000000424,0.0,18,1,3,2020-03-02,2020-02-28,False,4060.798920000004,0.07245732718364031,8736.721080000003,-4675.922159999999
evaluation,BASE,2,2020-07-01,2020-06-30,102256.44720000001,15469.599999999991,43.95904,146.3999999999839,0.0,4,1,1,2020-07-07,2020-07-06,False,15279.240960000008,0.1494208079625126,15592.340160000009,-313.09920000000056
evaluation,BASE,3,2020-08-19,2020-08-18,86188.63428,-2617.0,34.37628,106.80000000000405,0.0,30,2,2,2020-09-30,2020-09-29,False,-2758.176280000004,-0.03200162414732724,-2819.743599999997,61.56731999999283
evaluation,BASE,4,2021-01-05,2021-01-04,6926.2,210.60000000000036,10.0,7.799999999999141,93.6,12,1,1,2021-01-21,2021-01-20,False,286.4000000000012,0.04135023533828091,309.2000000000011,-22.799999999999898
evaluation,BASE,5,2021-02-03,2021-02-02,2752.0,-51.0,10.0,3.0000000000001137,0.0,12,1,1,2021-02-26,2021-02-25,False,-64.00000000000011,-0.023255813953488413,-74.79999999999995,10.79999999999984
evaluation,BASE,6,2021-07-29,2021-07-28,101491.69428000001,4119.299999999988,41.38758,124.2000000000047,0.0,9,1,1,2021-08-11,2021-08-10,False,3953.7124199999835,0.038956019485617194,8633.227120000007,-4679.514700000023
evaluation,BASE,7,2021-10-29,2021-10-28,31679.934719999997,960.5000000000045,16.51122,38.400000000001455,0.0,31,1,2,2021-12-13,2021-12-10,False,905.5887800000031,0.02858556332277705,942.7873400000016,-37.19855999999845
evaluation,BASE,8,2022-05-13,2022-05-12,87624.12132,928.0999999999913,35.20492,116.69999999999585,0.0,19,2,2,2022-06-10,2022-06-09,False,776.1950799999954,0.008858235247408188,813.3596400000073,-37.164560000011875
evaluation,BASE,9,2022-08-10,2022-08-09,74863.9698,-526.6999999999962,33.416520000000006,106.80000000000405,0.0,17,1,2,2022-09-02,2022-09-01,False,-666.9165200000002,-0.008908377712024565,-698.2739599999887,31.357439999988515
evaluation,BASE,10,2024-02-19,2024-02-08,70910.1792,2121.0,28.7658,84.00000000000009,0.0,4,1,1,2024-02-23,2024-02-22,False,2008.2341999999999,0.028320816879278173,2094.3013799999944,-86.06717999999455
evaluation,BASE,11,2024-06-18,2024-06-17,91989.29418000001,-207.1999999999971,36.726200000000006,103.6000000000001,0.0,22,1,1,2024-07-18,2024-07-17,False,-347.5261999999972,-0.0037778983206456116,-362.28600000000006,14.759800000002883
evaluation,BASE,12,2024-08-02,2024-08-01,70638.92496,-652.8000000000029,28.103040000000004,81.60000000000008,0.0,2,1,1,2024-08-06,2024-08-05,False,-762.503040000003,-0.010794374920509874,-796.1428800000059,33.63984000000289
evaluation,BASE,13,2024-08-28,2024-08-27,70826.1624,-2331.0,27.8418,83.99999999999075,0.0,11,1,1,2024-09-12,2024-09-11,False,-2442.841799999991,-0.03449067007476309,-2547.535019999999,104.69322000000784
evaluation,BASE,14,2024-09-25,2024-09-24,71579.8131,10619.0,30.7295,102.49999999998872,0.0,3,1,1,2024-09-30,2024-09-27,False,10485.770500000011,0.14649061021367785,10946.121400000007,-460.3508999999958
evaluation,BASE,15,2025-04-09,2025-04-08,86896.8759,4629.5,35.6589,94.00000000000009,0.0,10,1,1,2025-04-23,2025-04-22,False,4499.8411,0.051783692490606555,9829.979239999995,-5330.1381399999955
evaluation,BASE,16,2025-06-03,2025-05-30,13823.0,-150.5,10.0,13.999999999998458,308.0,11,1,1,2025-06-18,2025-06-17,False,133.50000000000153,0.009657816682341136,145.80000000000018,-12.299999999998647
evaluation,BASE,17,2025-12-19,2025-12-18,165811.35564,7277.5,67.7243,212.39999999999696,0.0,18,1,2,2026-01-16,2026-01-15,False,6997.375700000003,0.042200823176383045,8214.517200000006,-1217.1415000000025
evaluation,BASE,18,2026-02-03,2026-02-02,2790.7999999999997,7.200000000000273,10.0,3.6000000000001364,0.0,1,1,1,2026-02-04,2026-02-03,False,-6.399999999999864,-0.002293249247527542,-6.399999999999864,0.0
evaluation,BASE,19,2026-05-06,2026-04-30,162343.36218,-923.0999999999913,64.70002000000001,198.5999999999926,0.0,8,2,2,2026-05-18,2026-05-15,False,-1186.400019999984,-0.007307967532941382,-1263.599759999966,77.19973999998206
evaluation,BASE,20,2026-06-05,2026-06-04,86959.78847999999,3008.9999999999854,35.35752000000001,106.19999999998831,0.0,11,1,1,2026-06-23,2026-06-22,False,2867.442479999997,0.032974349755456045,3061.8453600000125,-194.40288000001556
evaluation,BASE,21,2026-07-23,2026-07-22,83136.42396,-1635.6000000000058,32.89992,104.3999999999885,0.0,6,1,1,2026-07-31,2026-07-30,False,-1772.8999199999944,-0.021325188594267682,-1895.1688799999815,122.26895999998715
evaluation,BASE,22,2026-08-07,2026-08-06,81952.98732,539.3999999999942,32.86164000000001,104.40000000000396,0.0,5,1,1,2026-08-14,2026-08-13,True,402.1383599999902,0.00490693961441295,429.872039999987,-27.73367999999681
evaluation,STRESS,1,2020-02-05,2020-02-04,56084.82496,4159.300000000008,47.832800000000006,130.9000000000053,0.0,18,1,3,2020-03-02,2020-02-28,False,3980.567200000003,0.07097405051792469,8558.881920000002,-4578.3147199999985
evaluation,STRESS,2,2020-07-01,2020-06-30,102325.71392000001,15469.599999999991,87.91808,243.9999999999948,0.0,4,1,1,2020-07-07,2020-07-06,False,15137.681919999997,0.14793624534918853,15447.880319999997,-310.1983999999993
evaluation,STRESS,3,2020-08-19,2020-08-18,86241.4828,-2617.0,67.8476,178.00000000000358,0.0,30,2,2,2020-09-30,2020-09-29,False,-2862.8476000000037,-0.03319571402359983,-2926.8717199999965,64.02411999999276
