period,cost,decision_origins,cap_binding_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,29,295,1309,0,0,0
evaluation,STRESS,1604,29,295,1309,0,0,0
earlier_diagnostic,BASE,1219,169,328,891,0,0,0
earlier_diagnostic,STRESS,1219,175,334,885,0,0,0
