period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,264,25,30,0,0,0.04370689791537385
evaluation,STRESS,264,25,30,0,0,0.04371580275755323
earlier_diagnostic,BASE,328,25,21,0,0,0.10656726216973633
earlier_diagnostic,STRESS,334,25,22,0,0,0.10994712918421422
