period,cost,cap_binding_origins,actual_holding_calendar_identical_to137,changed_share_rows,unknown_target_origins
evaluation,BASE,29,True,245,0
evaluation,STRESS,29,True,233,0
earlier_diagnostic,BASE,169,True,328,0
earlier_diagnostic,STRESS,175,True,334,0
