period,budget_source_cost,origin_index,origin,window_start,window_end,sample_count,mean_reference,mean_runs,positive_mean_reference,positive_mean_runs,old_budget_reference,old_budget_runs,budget_reference,budget_runs,status
evaluation,BASE,1851,2019-12-31,,,0,,,,,0.5,0.5,0.5,0.5,INITIAL_HALF
evaluation,BASE,1852,2020-01-02,2020-01-02,2020-01-02,1,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1868,2020-02-03,2020-01-02,2020-02-03,17,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1888,2020-03-02,2020-01-02,2020-03-02,37,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1910,2020-04-01,2020-01-02,2020-04-01,59,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1931,2020-05-06,2020-01-02,2020-05-06,80,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1949,2020-06-01,2020-01-02,2020-06-01,98,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1969,2020-07-01,2020-01-02,2020-07-01,118,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,1992,2020-08-03,2020-01-02,2020-08-03,141,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,2013,2020-09-01,2020-01-02,2020-09-01,162,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,2035,2020-10-09,2020-01-02,2020-10-09,184,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,2051,2020-11-02,2020-01-02,2020-11-02,200,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,2072,2020-12-01,2020-01-02,2020-12-01,221,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
evaluation,BASE,2095,2021-01-04,2020-01-06,2021-01-04,242,0.0004553585735103896,0.0002227079407895887,0.0004553585735103896,0.0002227079407895887,0.5,0.5,0.6715544329459954,0.3284455670540046,UPDATED_POSITIVE_MEAN
evaluation,BASE,2115,2021-02-01,2020-02-11,2021-02-01,242,0.00046181055558582994,0.0003125551709127504,0.00046181055558582994,0.0003125551709127504,0.6715544329459954,0.3284455670540046,0.5963726696350328,0.4036273303649673,UPDATED_POSITIVE_MEAN
evaluation,BASE,2130,2021-03-01,2020-03-03,2021-03-01,242,0.0003918252249383534,0.0003125551709127504,0.0003918252249383534,0.0003125551709127504,0.5963726696350328,0.4036273303649673,0.556269349979439,0.44373065002056106,UPDATED_POSITIVE_MEAN
evaluation,BASE,2153,2021-04-01,2020-04-03,2021-04-01,242,0.0003918252249383534,0.0003125551709127504,0.0003918252249383534,0.0003125551709127504,0.556269349979439,0.44373065002056106,0.556269349979439,0.44373065002056106,UPDATED_POSITIVE_MEAN
evaluation,BASE,2174,2021-05-06,2020-05-08,2021-05-06,242,0.0003918252249383534,0.0003125551709127504,0.0003918252249383534,0.0003125551709127504,0.556269349979439,0.44373065002056106,0.556269349979439,0.44373065002056106,UPDATED_POSITIVE_MEAN
