fit_origin,cycle_id,state_rows,adjacent_pairs,pair_mean_cross_product,pair_mean_previous_square
2017-03-01,1,59,58,4.215210144060346e-05,5.0041667687014595e-05
2017-03-01,2,52,51,0.0004624647721831518,0.0005566615503876926
2017-03-01,3,6,5,-3.046864687874257e-05,3.246924895284074e-05
2017-03-01,4,59,58,0.000883609632377192,0.0009137460732934466
2017-03-01,5,25,24,3.024064075831313e-05,4.476096416473383e-05
2017-03-01,6,59,58,5.0544674969862557e-05,0.00010275740517698392
2017-03-01,8,1,0,0.0,0.0
2017-03-01,9,59,58,0.00015925185264496766,0.00018065905906677814
2017-03-01,10,59,58,2.027310498162021e-05,2.9606280720186606e-05
2017-03-01,11,59,58,6.142240528491779e-05,6.996925875995199e-05
2017-04-05,1,59,58,4.215210144060346e-05,5.0041667687014595e-05
2017-04-05,2,52,51,0.0004624647721831518,0.0005566615503876926
2017-04-05,3,6,5,-3.046864687874257e-05,3.246924895284074e-05
2017-04-05,4,59,58,0.000883609632377192,0.0009137460732934466
2017-04-05,5,25,24,3.024064075831313e-05,4.476096416473383e-05
2017-04-05,6,59,58,5.0544674969862557e-05,0.00010275740517698392
2017-04-05,8,1,0,0.0,0.0
2017-04-05,9,59,58,0.00015925185264496766,0.00018065905906677814
2017-04-05,10,59,58,2.027310498162021e-05,2.9606280720186606e-05
2017-04-05,11,59,58,6.142240528491779e-05,6.996925875995199e-05
2017-05-02,1,59,58,4.215210144060346e-05,5.0041667687014595e-05
2017-05-02,2,52,51,0.0004624647721831518,0.0005566615503876926
2017-05-02,3,6,5,-3.046864687874257e-05,3.246924895284074e-05
2017-05-02,4,59,58,0.000883609632377192,0.0009137460732934466
2017-05-02,5,25,24,3.024064075831313e-05,4.476096416473383e-05
2017-05-02,6,59,58,5.0544674969862557e-05,0.00010275740517698392
2017-05-02,8,1,0,0.0,0.0
2017-05-02,9,59,58,0.00015925185264496766,0.00018065905906677814
2017-05-02,10,59,58,2.027310498162021e-05,2.9606280720186606e-05
2017-05-02,11,59,58,6.142240528491779e-05,6.996925875995199e-05
2017-06-01,1,59,58,4.705595919586278e-05,5.473451855120367e-05
2017-06-01,2,52,51,0.0004207686474589162,0.0005156349609316414
2017-06-01,3,6,5,-3.1216708805046e-05,3.210402532541641e-05
2017-06-01,4,59,58,0.0008138542686704171,0.0008450643489652057
2017-06-01,5,25,24,2.6309688617426283e-05,4.107949766131222e-05
2017-06-01,6,59,58,4.9646652230942024e-05,0.00010220289970349963
2017-06-01,8,1,0,0.0,0.0
2017-06-01,9,59,58,0.00014065341460389578,0.00016026219721063833
2017-06-01,10,59,58,1.5971023334484732e-05,2.4896375333364452e-05
2017-06-01,11,59,58,5.160524919229657e-05,5.9460064989162384e-05
2017-06-01,12,59,58,1.5791462159927165e-05,2.153260854946808e-05
2017-07-03,1,59,58,4.705595919586278e-05,5.473451855120367e-05
2017-07-03,2,52,51,0.0004207686474589162,0.0005156349609316414
2017-07-03,3,6,5,-3.1216708805046e-05,3.210402532541641e-05
2017-07-03,4,59,58,0.0008138542686704171,0.0008450643489652057
2017-07-03,5,25,24,2.6309688617426283e-05,4.107949766131222e-05
2017-07-03,6,59,58,4.9646652230942024e-05,0.00010220289970349963
2017-07-03,8,1,0,0.0,0.0
2017-07-03,9,59,58,0.00014065341460389578,0.00016026219721063833
2017-07-03,10,59,58,1.5971023334484732e-05,2.4896375333364452e-05
2017-07-03,11,59,58,5.160524919229657e-05,5.9460064989162384e-05
2017-07-03,12,59,58,1.5791462159927165e-05,2.153260854946808e-05
2017-08-01,1,59,58,4.705595919586278e-05,5.473451855120367e-05
2017-08-01,2,52,51,0.0004207686474589162,0.0005156349609316414
2017-08-01,3,6,5,-3.1216708805046e-05,3.210402532541641e-05
2017-08-01,4,59,58,0.0008138542686704171,0.0008450643489652057
2017-08-01,5,25,24,2.6309688617426283e-05,4.107949766131222e-05
2017-08-01,6,59,58,4.9646652230942024e-05,0.00010220289970349963
2017-08-01,8,1,0,0.0,0.0
2017-08-01,9,59,58,0.00014065341460389578,0.00016026219721063833
2017-08-01,10,59,58,1.5971023334484732e-05,2.4896375333364452e-05
2017-08-01,11,59,58,5.160524919229657e-05,5.9460064989162384e-05
2017-08-01,12,59,58,1.5791462159927165e-05,2.153260854946808e-05
2017-09-01,1,59,58,4.3883977136575944e-05,5.147040286400582e-05
2017-09-01,2,52,51,0.00036614844979459963,0.00046088031731562185
2017-09-01,3,6,5,-3.142438119663985e-05,3.2719898602819355e-05
2017-09-01,4,59,58,0.0007494767771033705,0.000781452438809692
2017-09-01,5,25,24,2.486333950375375e-05,3.930979940828628e-05
2017-09-01,6,59,58,4.6599461898182075e-05,9.86387728384102e-05
2017-09-01,8,1,0,0.0,0.0
2017-09-01,9,59,58,0.00013166060403479207,0.00015021321969409016
2017-09-01,10,59,58,1.4519724918443952e-05,2.318370124317756e-05
