cost,model,era,days,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
BASE,M0,2023,242,-0.0671448354000011,-0.0671448354000011,-0.0655453753901436,0.08917561435892227,-0.7350145649272514,-0.15805695367850386
BASE,M0,2024,242,-0.014778730850368882,-0.014778730850368882,-0.013584050410725634,0.05119297712283851,-0.2653498814521072,-0.04794190105510817
BASE,M0,2025,243,0.19561548900067904,0.19473675863466836,0.1821774193206154,0.09130818603926238,1.995192624265686,-0.07704719820696086
BASE,M0,2026_PARTIAL,140,0.04876566173330848,0.0857858913066072,0.0883099187176713,0.10981567953362095,0.8041649343037076,-0.05689302133794955
BASE,M1,2023,242,-0.05807502129999982,-0.05807502129999982,-0.05801576339749748,0.06022592446667327,-0.9633021644956432,-0.1268850641479195
BASE,M1,2024,242,0.33966760743681274,0.33966760743681274,0.30578381835730295,0.16624736667858067,1.8393302971739651,-0.053778743605015146
BASE,M1,2025,243,0.08448353618894572,0.084121638512254,0.08362692665398112,0.07498654229783036,1.1152258004087323,-0.0680589763145402
BASE,M1,2026_PARTIAL,140,0.02917844119414111,0.050971727102793934,0.053218786069591885,0.08395179350076992,0.6339207758450547,-0.05695605071770502
BASE,VOL_ONLY,2023,242,-0.07328455659999991,-0.07328455659999991,-0.07066616772006062,0.10454225733381216,-0.6759579286146238,-0.163568347975464
BASE,VOL_ONLY,2024,242,0.310191604820297,0.310191604820297,0.28602180316298986,0.18081918704056252,1.581811133233486,-0.10457667690241602
BASE,VOL_ONLY,2025,243,0.19616725126975304,0.1952858459010592,0.18447024176013363,0.10962133780486093,1.682795023798311,-0.07699268292465139
BASE,VOL_ONLY,2026_PARTIAL,140,0.01630813681136338,0.02835700395517564,0.03485489964360185,0.11776466222471613,0.29597078601637256,-0.05696380779674671
BASE,BUY_HOLD,2023,242,-0.09551570730000085,-0.09551570730000085,-0.09212612143367094,0.1288036937136334,-0.7152444062550958,-0.19560197954442127
BASE,BUY_HOLD,2024,242,0.16591996258112462,0.16591996258112465,0.17599105849065344,0.21302869066565502,0.8261378218151304,-0.12065972847979817
BASE,BUY_HOLD,2025,243,0.1968756921154342,0.19599085062128643,0.18901810215815273,0.1409435880562036,1.3410904658023792,-0.09748091019671229
BASE,BUY_HOLD,2026_PARTIAL,140,-0.0019932173427842097,-0.0034429163777386753,0.012456415471347263,0.178823922411949,0.06965743343137253,-0.0922796598419063
STRESS,M0,2023,242,-0.07107601420000025,-0.07107601420000025,-0.06977103331510437,0.08913240116259089,-0.7827796895971817,-0.16111395159383418
STRESS,M0,2024,242,-0.016455518248713316,-0.016455518248713316,-0.015281993184112165,0.051297313265180486,-0.29791020642956856,-0.0481959461531644
STRESS,M0,2025,243,0.19213252035666628,0.19127065170934615,0.1792640784327141,0.09124661963273717,1.9646106250756747,-0.07695084457076126
STRESS,M0,2026_PARTIAL,140,0.047751369039898926,0.083971364808732,0.0866280382405916,0.10973469143183523,0.7894316474603934,-0.05702350354055431
STRESS,M1,2023,242,-0.0622190099999999,-0.0622190099999999,-0.06241803595274741,0.06032178477975672,-1.0347511463834234,-0.12926489232249805
STRESS,M1,2024,242,0.33588382677708073,0.3358838267770806,0.3029178327938121,0.1660123278789579,1.8246707136994917,-0.054868877177421664
STRESS,M1,2025,243,0.08099266817406872,0.08064627329282702,0.08042718173303683,0.07514452091842204,1.0703000132285057,-0.0691122977079534
STRESS,M1,2026_PARTIAL,140,0.02841369094053439,0.04962217477071075,0.05192845116526825,0.08388860395703367,0.6190167521665414,-0.057114341184965195
STRESS,VOL_ONLY,2023,242,-0.0744503466000005,-0.0744503466000005,-0.07192389947718425,0.1045486662685856,-0.6879465998390807,-0.1641566618682062
STRESS,VOL_ONLY,2024,242,0.3071729951554859,0.3071729951554859,0.2836972546344484,0.18072282130715708,1.5697920859274084,-0.1052847948421675
STRESS,VOL_ONLY,2025,243,0.19434782141078924,0.19347523288242888,0.1829548568713346,0.10963631281262365,1.6687432491825733,-0.07696677198236943
STRESS,VOL_ONLY,2026_PARTIAL,140,0.015413302574168557,0.02679238315618379,0.03333724240670479,0.11780789614508905,0.282979694040606,-0.05713886883634334
STRESS,BUY_HOLD,2023,242,-0.09622261740000106,-0.09622261740000106,-0.0928976784191472,0.1288819603652203,-0.7207965967921163,-0.1957296851287864
STRESS,BUY_HOLD,2024,242,0.16604974066541808,0.16604974066541808,0.176134085593325,0.2131797253157833,0.8262234381455246,-0.12073372389619358
STRESS,BUY_HOLD,2025,243,0.1970077540756145,0.19612227185610687,0.18914078758209124,0.1410329507335461,1.3411106170460505,-0.09754495889203682
STRESS,BUY_HOLD,2026_PARTIAL,140,-0.00258181108575603,-0.0044586465145161,0.011461045423911768,0.17896098168699553,0.06404214659459818,-0.09232698773347604
