cost,model,days,first,last,trade_records,terminal_equity,mean_exposure,commission,slippage_cost,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
BASE,M0,867,2023-01-03,2026-08-03,33,230487.8235,0.4441944071370059,582.6765,1624.4999999999948,0.15243911749999928,0.04039683912255882,0.043233195468942526,0.08514072269069486,0.5077851597055746,-0.18024708284644636
BASE,M1,867,2023-01-03,2026-08-03,29,281680.6470000002,0.32942940424104883,703.653,2054.7999999998765,0.40840323500000136,0.10030526707066886,0.1011901297888503,0.10715842320280693,0.9443040198280904,-0.1696380122486407
BASE,VOL_ONLY,867,2023-01-03,2026-08-03,44,295208.26966,0.7176712615308256,457.43034000000006,1201.4999999999695,0.47604134829999656,0.11480615334532179,0.11744177448097533,0.1334460774514884,0.8800691389649044,-0.1853594145285274
BASE,BUY_HOLD,867,2023-01-03,2026-08-03,2,251931.40160000004,0.9616885270664041,86.7984,253.4999999999721,0.25965700799999686,0.06655379720644117,0.0783974760763662,0.16730736478533018,0.4685835329302864,-0.22180702943553982
STRESS,M0,867,2023-01-03,2026-08-03,34,228237.47340000005,0.444133013533641,1122.5266000000001,3024.6000000000026,0.14118736700000292,0.037551515765076336,0.040491653979264075,0.08511185843680501,0.4757463263398115,-0.1849709348732881
STRESS,M1,867,2023-01-03,2026-08-03,29,278542.01335999987,0.3296067066940032,1378.1866400000001,3756.600000000026,0.3927100667999994,0.0968693317364753,0.09805621587059188,0.10709723533941029,0.9155812058064262,-0.17255829756571045
STRESS,VOL_ONLY,867,2023-01-03,2026-08-03,44,293451.5824,0.7178338980575242,834.2176000000001,2197.0000000000246,0.4672579120000007,0.11295050686277419,0.11577208316577958,0.13341911054953665,0.8677323862295951,-0.18751711276490424
STRESS,BUY_HOLD,867,2023-01-03,2026-08-03,2,251641.80319999997,0.9623365244278135,173.59680000000003,456.3000000000173,0.2582090159999981,0.06621144517279708,0.0780956958223147,0.16742356434775013,0.4664558189676611,-0.2219518439020209
