comparison,month,delta_sum,days
BASE_M1_MINUS_M0,2023-01,0.0,16
BASE_M1_MINUS_M0,2023-02,0.01876487806864846,20
BASE_M1_MINUS_M0,2023-03,0.0017097340969520758,23
BASE_M1_MINUS_M0,2023-04,-0.005444135623635438,19
BASE_M1_MINUS_M0,2023-05,-0.0017531053346144798,20
BASE_M1_MINUS_M0,2023-06,-9.289823554858856e-07,20
BASE_M1_MINUS_M0,2023-07,-0.03807128376197333,21
BASE_M1_MINUS_M0,2023-08,0.0002652902285557035,23
BASE_M1_MINUS_M0,2023-09,3.3793137983462174e-06,20
BASE_M1_MINUS_M0,2023-10,0.02413893466579642,17
BASE_M1_MINUS_M0,2023-11,-0.00840008712473539,22
BASE_M1_MINUS_M0,2023-12,0.01631693644620924,21
BASE_M1_MINUS_M0,2024-01,-0.0011298255895434428,22
BASE_M1_MINUS_M0,2024-02,5.304342512901794e-05,15
BASE_M1_MINUS_M0,2024-03,7.376464664088367e-06,21
BASE_M1_MINUS_M0,2024-04,3.058952939616333e-06,20
BASE_M1_MINUS_M0,2024-05,0.0,20
BASE_M1_MINUS_M0,2024-06,0.0,19
BASE_M1_MINUS_M0,2024-07,0.0,23
BASE_M1_MINUS_M0,2024-08,0.02218658407088836,22
BASE_M1_MINUS_M0,2024-09,0.23450141454990037,19
BASE_M1_MINUS_M0,2024-10,0.06423875013119296,18
BASE_M1_MINUS_M0,2024-11,-0.0004925332371423785,21
BASE_M1_MINUS_M0,2024-12,0.0,22
BASE_M1_MINUS_M0,2025-01,0.0,18
BASE_M1_MINUS_M0,2025-02,-1.5837454685474484e-06,18
BASE_M1_MINUS_M0,2025-03,0.001371224432166307,21
BASE_M1_MINUS_M0,2025-04,-0.0012422062499479747,21
BASE_M1_MINUS_M0,2025-05,0.007808411708281837,19
BASE_M1_MINUS_M0,2025-06,-0.0010124088172681622,20
BASE_M1_MINUS_M0,2025-07,3.2415357083537266e-05,23
BASE_M1_MINUS_M0,2025-08,-0.10546579515276688,21
