fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,latest_exit_index,oldest_exit_date,newest_exit_date,oldest_cycle_age_calendar_days,cycles_older_than_365_calendar_days,cycles_older_than_1095_calendar_days,effective_weighted_cycles
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,588,2014-10-30,2014-10-30,62,0,0,1.0
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,588,2014-10-30,2014-10-30,67,0,0,1.0
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,2,111,644,2014-10-30,2015-01-20,95,0,0,1.9872727577994111
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,654,2014-10-30,2015-02-03,123,0,0,2.9805266210399015
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,654,2014-10-30,2015-02-03,153,0,0,2.9805266210399015
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,654,2014-10-30,2015-02-03,186,0,0,2.9805266210399015
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,4,176,717,2014-10-30,2015-05-12,214,0,0,3.9315268573583
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,244,0,0,4.876156773944975
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,277,0,0,4.876156773944976
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,306,0,0,4.876156773944976
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,343,0,0,4.876156773944976
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,368,1,0,4.8761567739449765
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,746,2014-10-30,2015-06-23,397,1,0,4.876156773944976
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,6,260,874,2014-10-30,2015-12-29,431,1,0,5.5473868115633875
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,459,2,0,6.376257793283463
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,488,3,0,6.376257793283463
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,519,3,0,6.376257793283463
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,551,3,0,6.3762577932834645
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,580,4,0,6.376257793283463
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,883,2014-10-30,2016-01-12,610,5,0,6.376257793283463
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,1016,2014-10-30,2016-07-28,641,5,0,6.786041479824755
