fit_index,fit_origin,used_in_fit,cycle_id,exit_index,age_trading_days,raw_weight,cycle_weight
632,2014-12-31,False,1,588,44,0.8815912549960212,1.0
633,2015-01-05,False,1,588,45,0.8790697748422599,1.0
653,2015-02-02,False,1,588,65,0.8301275663489482,0.919972653903012
653,2015-02-02,False,2,644,9,0.9745512201934707,1.080027346096988
668,2015-03-02,False,1,588,80,0.7952175421610025,0.8870314824866765
668,2015-03-02,False,2,644,24,0.9335676315879516,1.0413551466667412
668,2015-03-02,False,3,654,14,0.9606939186899557,1.0716133708465823
690,2015-04-01,False,1,588,102,0.7466543310353939,0.8870314824866765
690,2015-04-01,False,2,644,46,0.8765555064911678,1.0413551466667412
690,2015-04-01,False,3,654,36,0.9020252159427233,1.0716133708465823
711,2015-05-04,False,1,588,123,0.7030677076408963,0.8870314824866765
711,2015-05-04,False,2,644,67,0.8253857842278243,1.041355146666741
711,2015-05-04,False,3,654,57,0.8493686763025988,1.071613370846582
731,2015-06-01,False,1,588,143,0.6639244139945529,0.8283185520870273
731,2015-06-01,False,2,644,87,0.779432431837404,0.9724274778582339
731,2015-06-01,False,3,654,77,0.8020800764292277,1.000682899380713
731,2015-06-01,False,4,717,14,0.9606939186899557,1.1985710706740258
752,2015-07-01,False,1,588,164,0.6251672244995639,0.7810818837921997
752,2015-07-01,False,2,644,108,0.7339323570961996,0.9169726844135748
752,2015-07-01,False,3,654,98,0.7552579249055485,0.9436167790248977
752,2015-07-01,False,4,717,35,0.9046125403454989,1.1302199466402167
752,2015-07-01,False,5,746,6,0.9829613605514715,1.2281087061291114
775,2015-08-03,False,1,588,187,0.5853099573559559,0.7810818837921997
775,2015-08-03,False,2,644,131,0.6871408157681378,0.9169726844135748
775,2015-08-03,False,3,654,121,0.7071067811865476,0.9436167790248975
775,2015-08-03,False,4,717,58,0.8469393574449235,1.1302199466402167
775,2015-08-03,False,5,746,29,0.9202930823628545,1.2281087061291114
796,2015-09-01,False,1,588,208,0.5511419580289498,0.7810818837921997
796,2015-09-01,False,2,644,152,0.6470283477746266,0.9169726844135748
796,2015-09-01,False,3,654,142,0.6658287818631732,0.9436167790248975
796,2015-09-01,False,4,717,79,0.7974985047283272,1.1302199466402167
796,2015-09-01,False,5,746,50,0.8665701394611683,1.2281087061291114
816,2015-10-08,False,1,588,228,0.5204571302812262,0.7810818837921996
816,2015-10-08,False,2,644,172,0.611005045410999,0.9169726844135746
816,2015-10-08,False,3,654,162,0.6287587653577796,0.9436167790248975
816,2015-10-08,False,4,717,99,0.7530977765853059,1.1302199466402167
816,2015-10-08,False,5,746,70,0.8183238481503369,1.2281087061291114
833,2015-11-02,False,1,588,245,0.49572203918916885,0.7810818837921996
833,2015-11-02,False,2,644,189,0.5819666009808472,0.9169726844135748
833,2015-11-02,False,3,654,179,0.5988765629030827,0.9436167790248974
833,2015-11-02,False,4,717,116,0.71730627518922,1.1302199466402167
833,2015-11-02,False,5,746,87,0.779432431837404,1.2281087061291112
854,2015-12-01,False,1,588,266,0.4667838157939758,0.7810818837921997
854,2015-12-01,False,2,644,210,0.5479937731128928,0.9169726844135746
854,2015-12-01,False,3,654,200,0.5639166006795321,0.9436167790248975
854,2015-12-01,False,4,717,137,0.6754328711578967,1.1302199466402167
854,2015-12-01,False,5,746,108,0.7339323570961996,1.2281087061291114
877,2016-01-04,False,1,588,289,0.4370242146579662,0.6920413190464738
877,2016-01-04,False,2,644,233,0.5130566661244738,0.8124410503162838
877,2016-01-04,False,3,654,223,0.5279643406774323,0.8360478126317753
877,2016-01-04,False,4,717,160,0.6323709393605857,1.0013788809031163
877,2016-01-04,False,5,746,131,0.6871408157681378,1.0881086689601904
877,2016-01-04,False,6,874,3,0.9914440783783378,1.5699822681421614
897,2016-02-01,False,1,588,309,0.41269289211391214,0.6364869439796161
897,2016-02-01,False,2,644,253,0.48449223695063126,0.7472214549152879
897,2016-02-01,False,3,654,243,0.4985699267435606,0.768933158523019
897,2016-02-01,False,4,717,180,0.5971636881900506,0.9209920941569537
897,2016-02-01,False,5,746,151,0.6488842518046877,1.0007595534591052
897,2016-02-01,False,6,874,23,0.9362454306917433,1.443950221540001
897,2016-02-01,False,8,883,14,0.9606939186899557,1.4816565734260165
913,2016-03-01,False,1,588,325,0.394206861599051,0.6364869439796161
913,2016-03-01,False,2,644,269,0.46279005005178214,0.7472214549152879
913,2016-03-01,False,3,654,259,0.4762371484096184,0.7689331585230191
913,2016-03-01,False,4,717,196,0.5704145331326351,0.9209920941569538
913,2016-03-01,False,5,746,167,0.6198183427263135,1.0007595534591054
913,2016-03-01,False,6,874,39,0.8943075588943544,1.443950221540001
913,2016-03-01,False,8,883,30,0.9176609093125079,1.4816565734260165
936,2016-04-01,False,1,588,348,0.3690743729194439,0.6364869439796161
936,2016-04-01,False,2,644,292,0.43328506973058417,0.7472214549152879
936,2016-04-01,False,3,654,282,0.4458748541241709,0.7689331585230192
936,2016-04-01,False,4,717,219,0.5340480002455936,0.9209920941569538
936,2016-04-01,False,5,746,190,0.5803020912364398,1.0007595534591052
936,2016-04-01,False,6,874,62,0.8372913656479264,1.443950221540001
936,2016-04-01,False,8,883,53,0.8591558332682656,1.4816565734260165
956,2016-05-03,False,1,588,368,0.3485261577197995,0.6364869439796162
956,2016-05-03,False,2,644,312,0.40916192407516844,0.747221454915288
956,2016-05-03,False,3,654,302,0.4210507722401294,0.7689331585230191
956,2016-05-03,False,4,717,239,0.5043148785737148,0.9209920941569538
956,2016-05-03,False,5,746,210,0.5479937731128928,1.0007595534591054
956,2016-05-03,False,6,874,82,0.7906751700284789,1.4439502215400013
956,2016-05-03,False,8,883,73,0.8113223334444255,1.4816565734260168
977,2016-06-01,False,1,588,389,0.32818062733414094,0.6364869439796162
977,2016-06-01,False,2,644,333,0.385276725863967,0.747221454915288
977,2016-06-01,False,3,654,323,0.3964715517404053,0.7689331585230192
977,2016-06-01,False,4,717,260,0.4748750403902913,0.9209920941569538
977,2016-06-01,False,5,746,231,0.5160041398671048,1.0007595534591056
977,2016-06-01,False,6,874,103,0.7445187902541572,1.4439502215400013
977,2016-06-01,False,8,883,94,0.7639606567896485,1.481656573426017
997,2016-07-01,False,1,588,409,0.30990917136315677,0.6364869439796162
997,2016-07-01,False,2,644,353,0.3638264446866414,0.7472214549152879
997,2016-07-01,False,3,654,343,0.3743979986479587,0.7689331585230191
997,2016-07-01,False,4,717,280,0.448436373176165,0.9209920941569538
997,2016-07-01,False,5,746,251,0.48727561009673537,1.0007595534591054
997,2016-07-01,False,6,874,123,0.7030677076408963,1.443950221540001
997,2016-07-01,False,8,883,114,0.7214271482840289,1.4816565734260165
1018,2016-08-01,False,1,588,430,0.2918179425612355,0.5553592975227658
1018,2016-08-01,False,2,644,374,0.34258774618003096,0.6519794101369394
1018,2016-08-01,False,3,654,364,0.35254217609605193,0.6709237051891224
1018,2016-08-01,False,4,717,301,0.42225849339755384,0.8036009650677255
1018,2016-08-01,False,5,746,272,0.45883045465625394,0.8732011361038142
1018,2016-08-01,False,6,874,144,0.6620254928970514,1.2599020109954977
1018,2016-08-01,False,8,883,135,0.6793131845503453,1.29280225080974
1018,2016-08-01,False,9,1016,2,0.9942878874123177,1.892231224174394
1041,2016-09-01,False,1,588,453,0.27321321531682236,0.5553592975227659
1041,2016-09-01,False,2,644,397,0.3207462119720367,0.6519794101369394
1041,2016-09-01,False,3,654,387,0.3300660014960526,0.6709237051891225
1041,2016-09-01,False,4,717,324,0.39533758501423943,0.8036009650677256
1041,2016-09-01,False,5,746,295,0.4295779166341328,0.8732011361038142
1041,2016-09-01,False,6,874,167,0.6198183427263135,1.259902010995498
1041,2016-09-01,False,8,883,158,0.6360038650439177,1.2928022508097403
1041,2016-09-01,False,9,1016,25,0.9308974913819289,1.892231224174394
1061,2016-10-10,False,1,588,473,0.2580020699335524,0.5553592975227659
1061,2016-10-10,False,2,644,417,0.3028886670660112,0.6519794101369395
1061,2016-10-10,False,3,654,407,0.31168957732122266,0.6709237051891224
1061,2016-10-10,False,4,717,344,0.37332716551769696,0.8036009650677256
1061,2016-10-10,False,5,746,315,0.40566116672221275,0.8732011361038143
1061,2016-10-10,False,6,874,187,0.5853099573559559,1.259902010995498
1061,2016-10-10,False,8,883,178,0.6005943507410093,1.2928022508097405
1061,2016-10-10,False,9,1016,45,0.8790697748422599,1.892231224174394
1077,2016-11-01,False,1,588,489,0.24644520954456248,0.5553592975227659
1077,2016-11-01,False,2,644,433,0.2893211711168869,0.6519794101369394
1077,2016-11-01,False,3,654,423,0.297727856274828,0.6709237051891223
1077,2016-11-01,False,4,717,360,0.3566044704927441,0.8036009650677256
1077,2016-11-01,False,5,746,331,0.38749011301612885,0.8732011361038141
1077,2016-11-01,False,6,874,203,0.5590917744429639,1.259902010995498
1077,2016-11-01,False,8,883,194,0.5736915237066466,1.2928022508097403
1077,2016-11-01,False,9,1016,61,0.8396930106843238,1.8922312241743937
