period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips
evaluation,BASE,265,265,0,20,24
evaluation,STRESS,265,265,0,20,24
earlier_diagnostic,BASE,225,21,204,4,9
earlier_diagnostic,STRESS,225,21,204,4,9
