model,period,cost,origin,source_target,normal_requested_quantity,own_shares,observed_daily_return,return_threshold
REDUCE_100_UPPER00,evaluation,BASE,2020-09-28,0.615903576394093,14500,15600,0.002155636990730736,0.01
REDUCE_100_UPPER00,evaluation,BASE,2020-09-29,0.5839800127254916,12900,15600,0.0023661002366099915,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-06-08,0.8580575209254394,38800,2800,-0.00794100964265454,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-06-09,0.8565615397180184,38600,2800,0.0015246807699638154,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-06-10,0.8566292711043131,38400,2800,0.006470028544243611,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-06-11,0.5026630428614938,21600,2800,-0.009264511249763574,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-06-30,0.26466006783779633,11600,1000,0.005933014354067012,0.01
REDUCE_100_UPPER00,evaluation,BASE,2021-11-10,0.5345215452362823,17200,11100,-0.0050844010575553655,0.01
REDUCE_100_UPPER00,evaluation,BASE,2022-05-13,0.8823437472135435,44300,14700,0.007846114907618329,0.01
REDUCE_100_UPPER00,evaluation,BASE,2022-05-16,0.8818007225613765,44600,14700,-0.007785032646911105,0.01
REDUCE_100_UPPER00,evaluation,BASE,2022-06-07,0.8765522825835423,51100,5400,0.001436781609195359,0.01
REDUCE_100_UPPER00,evaluation,BASE,2022-08-09,0.9004755690180776,55900,1600,0.0016650808753568835,0.01
REDUCE_100_UPPER00,evaluation,BASE,2022-08-10,0.8990743322763547,56400,1600,-0.010686297791498434,0.01
REDUCE_100_UPPER00,evaluation,BASE,2024-02-19,0.8979692823079319,44500,24800,0.00803093396787613,0.01
REDUCE_100_UPPER00,evaluation,BASE,2024-02-20,0.8975225242250525,44300,24800,0.0035408675125405686,0.01
REDUCE_100_UPPER00,evaluation,BASE,2024-06-17,0.6966798268601029,51500,1800,-0.002813731007315634,0.01
