model,period,cost,ordinary_reduction_requests,modified_reduction_requests,zero_exit_requests,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
REDUCE_100_UPPER00,evaluation,BASE,20,11,42,64,0,64,107
REDUCE_100_UPPER00,evaluation,STRESS,20,11,42,64,0,64,107
REDUCE_100_UPPER00,earlier_diagnostic,BASE,15,8,23,9,0,9,60
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,15,8,23,11,0,11,61
REDUCE_100_LOWER00,evaluation,BASE,22,9,42,74,0,74,112
REDUCE_100_LOWER00,evaluation,STRESS,22,9,42,73,0,73,112
REDUCE_100_LOWER00,earlier_diagnostic,BASE,10,3,23,9,0,9,60
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,10,3,23,11,0,11,61
REDUCE_100_HOLD,evaluation,BASE,70,70,42,58,0,58,97
REDUCE_100_HOLD,evaluation,STRESS,70,70,42,58,0,58,97
REDUCE_100_HOLD,earlier_diagnostic,BASE,138,138,23,9,0,9,52
REDUCE_100_HOLD,earlier_diagnostic,STRESS,138,138,23,11,0,11,53
REDUCE_100_HALF,evaluation,BASE,26,26,42,63,0,63,124
REDUCE_100_HALF,evaluation,STRESS,26,26,42,63,0,63,124
REDUCE_100_HALF,earlier_diagnostic,BASE,11,11,23,9,0,9,63
REDUCE_100_HALF,earlier_diagnostic,STRESS,11,11,23,11,0,11,64
REDUCE_105_UPPER00,evaluation,BASE,18,10,42,71,0,71,106
REDUCE_105_UPPER00,evaluation,STRESS,18,10,42,74,0,74,106
REDUCE_105_UPPER00,earlier_diagnostic,BASE,16,8,23,10,0,10,61
REDUCE_105_UPPER00,earlier_diagnostic,STRESS,16,8,23,10,0,10,61
REDUCE_105_LOWER00,evaluation,BASE,20,8,42,80,0,80,111
REDUCE_105_LOWER00,evaluation,STRESS,20,8,42,83,0,83,111
REDUCE_105_LOWER00,earlier_diagnostic,BASE,12,4,23,10,0,10,61
REDUCE_105_LOWER00,earlier_diagnostic,STRESS,12,4,23,10,0,10,61
REDUCE_105_HOLD,evaluation,BASE,68,68,42,59,0,59,97
REDUCE_105_HOLD,evaluation,STRESS,68,68,42,62,0,62,97
REDUCE_105_HOLD,earlier_diagnostic,BASE,154,154,23,9,0,9,52
REDUCE_105_HOLD,earlier_diagnostic,STRESS,150,150,23,10,0,10,52
REDUCE_105_HALF,evaluation,BASE,24,24,42,64,0,64,122
REDUCE_105_HALF,evaluation,STRESS,25,25,42,67,0,67,123
REDUCE_105_HALF,earlier_diagnostic,BASE,12,12,23,10,0,10,64
REDUCE_105_HALF,earlier_diagnostic,STRESS,12,12,23,11,0,11,64
