period,cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,ADAPTIVE_SPEED,2020—2021,-0.15023261229999907,-0.07786288338772981,-0.07145334689058955,0.138931345543734,-0.5143068802144212,-0.2634236554921941,486,0.5402911424754407,48,1873.0224600000001,5609.799999999954,False,3.4049207897624e-11
evaluation,BASE,ADAPTIVE_SPEED,2022—2023,0.002349574164527475,0.0011740978294072283,0.005154832305641233,0.08951956809119063,0.05758330179151641,-0.12656110558591746,484,0.34346914251417354,34,1187.3817000000001,3511.600000000117,False,3.728928277269006e-11
evaluation,BASE,ADAPTIVE_SPEED,2024—终点,0.1170963185055993,0.043173045319296506,0.05277280297918596,0.14542123783309113,0.3628961200272311,-0.14725665206565686,634,0.5560056729569751,52,1822.71476,5565.100000000037,False,3.515765456540976e-11
evaluation,BASE,FIXED_NEUTRAL_SPEED,2020—2021,-0.08882895389999941,-0.045264473762364484,-0.03495153362164361,0.1510925779120978,-0.23132528483283682,-0.2051170632763952,486,0.6013402594708982,46,1830.8907800000002,5542.699999999959,False,3.532818482199218e-11
evaluation,BASE,FIXED_NEUTRAL_SPEED,2022—2023,-0.1113298662574788,-0.057306977992028836,-0.05531545919670816,0.0861325722312437,-0.6422130184177067,-0.20792604781426965,484,0.33368492548170564,40,1459.2101400000001,4449.200000000041,False,3.510081114654895e-11
evaluation,BASE,FIXED_NEUTRAL_SPEED,2024—终点,0.026920796393162617,0.010191461647856696,0.021184800634111586,0.14911369127668336,0.1420714654216612,-0.2132352901450618,634,0.5482475670862043,64,2071.28204,6327.499999999824,False,3.873878995364066e-11
evaluation,BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
evaluation,BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
evaluation,BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
evaluation,BASE,ORIGINAL_TWO,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
evaluation,BASE,ORIGINAL_TWO,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
