cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,completed_cycles
BASE,ADAPTIVE_SPEED,方向效率决定均线反应速度,-0.010177684599999818,-0.0020287998934568475,0.010716903145210923,0.15856556737143915,0.06758657205890498,-0.3525026704898066,1219,0.5703680602139386,104,3945.7369200000003,11619.900000000023,False,3.518607627484016e-11,-0.04099002809010077,False,52.0
BASE,FIXED_NEUTRAL_SPEED,效率固定为一半的同规则对照,0.0007597989000008771,0.00015079193936786526,0.01275808017848341,0.1577176054577929,0.08089192161808229,-0.33515956305658157,1219,0.5697635763032304,110,4199.34022,12425.300000000094,False,3.703348738781642e-11,-0.03881043625727606,False,55.0
BASE,REARM_RIDGE,已有线性退出及等待新机会,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11,0.04740472381543391,False,
BASE,ORIGINAL_TWO,原急跌与学习信号各半,0.22966376269999908,0.04189677703772837,0.04366344015915876,0.07224015020229958,0.6044206723945715,-0.11074951407131403,1219,0.1435925223406067,32,726.44746,2201.5999999999667,False,5.218225851422176e-11,0.0029355488410844482,False,
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False,
STRESS,ADAPTIVE_SPEED,方向效率决定均线反应速度,-0.08430550140000148,-0.0173324817516422,-0.004727239328771929,0.15862240041600573,-0.029801839566001985,-0.36769157379998274,1219,0.5704011644704874,104,7590.50028,21538.700000000114,False,3.745981302927248e-11,-0.05603275383732888,False,52.0
STRESS,FIXED_NEUTRAL_SPEED,效率固定为一半的同规则对照,-0.07830647199999938,-0.01605777161803652,-0.003571650211277668,0.15777114274535262,-0.022638171652482858,-0.37182440361765,1219,0.5697062894933813,110,8062.0944,22949.099999999904,False,3.643663148977794e-11,-0.0547580437037232,False,55.0
STRESS,REARM_RIDGE,已有线性退出及等待新机会,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11,0.044636810476877634,False,
STRESS,ORIGINAL_TWO,原急跌与学习信号各半,0.21526860940000017,0.03946393855069464,0.04132491760448148,0.07223208590324974,0.5721130310404378,-0.11216937802319174,1219,0.14367440811841564,32,1444.87812,4149.4,False,4.229150363244116e-11,0.0007636664650079658,False,
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False,
