period,cost,source_completed_cycles,source_trade_count,climax_only_outside_old_two_signal_decision_days
evaluation,BASE,7,14,35
evaluation,STRESS,7,14,35
earlier_diagnostic,BASE,6,12,9
earlier_diagnostic,STRESS,6,12,9
