period,cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,CLIMAX_LEARNED_HALF,2020—2021,0.11525521410000047,0.05581943805255169,0.055913943834388066,0.056615284183675195,0.987612172942349,-0.05385557410020316,486,0.14294307214415353,20,434.45718000000005,1283.8000000000088,False,4.2518877307884395e-11
evaluation,BASE,CLIMAX_LEARNED_HALF,2022—2023,0.019855710710906232,0.009879057467232673,0.010366346638753854,0.032805858812925234,0.3159907106187264,-0.028631668850723005,484,0.05485454764693424,14,315.66302,978.900000000003,False,4.1382008930668235e-11
evaluation,BASE,CLIMAX_LEARNED_HALF,2024—终点,0.1317661389057934,0.04838094191203922,0.04803609928353435,0.03981764731386724,1.2064022493565278,-0.03390370124384627,634,0.09231024775582108,27,688.65456,2038.599999999905,False,4.453681867744308e-11
evaluation,BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
evaluation,BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
evaluation,BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
evaluation,BASE,CLIMAX_ONLY,2020—2021,0.05718991060000003,0.02807975556269969,0.027978405670944024,0.02398736261571212,1.1663810698645838,-0.009108866674296475,486,0.026590854732966393,4,164.01788,496.8000000000188,False,1.864464138634503e-11
evaluation,BASE,CLIMAX_ONLY,2022—2023,0.03355313822458632,0.016638155011204723,0.018065279340385876,0.056147025513039316,0.32174953482069113,-0.05456126769634768,484,0.06783602446554755,8,340.19216,970.4000000000119,False,3.808509063674137e-11
evaluation,BASE,CLIMAX_ONLY,2024—终点,0.05125890995861238,0.019263949573374736,0.019202067891228754,0.015626747687074602,1.2287949019047268,0.0,634,0.015619209113413423,2,88.7679,234.0000000000002,False,1.887201506178826e-11
evaluation,BASE,OLD_PANIC_BLEND,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
evaluation,BASE,OLD_PANIC_BLEND,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
evaluation,BASE,OLD_PANIC_BLEND,2024—终点,0.13180497389751084,0.048394673069243534,0.04804920910390732,0.039818332111038364,1.2067107424267831,-0.03388600456308931,634,0.09226087694246554,27,694.01986,2054.4999999999045,False,4.369127282188856e-11
evaluation,BASE,OLD_SESSION_VOLUME,2020—2021,0.08577732309999918,0.04182996120781135,0.04436061618384178,0.08230610235609868,0.538971168770875,-0.08598307864338411,486,0.27369841078979185,15,317.63538,935.8000000000152,False,4.0472514228895307e-11
evaluation,BASE,OLD_SESSION_VOLUME,2022—2023,0.00275101720808819,0.001374563891098739,0.0022987639028336226,0.04308844323521342,0.05334989454794204,-0.07125099977745089,484,0.12687785714637612,13,279.30158000000006,845.4000000000236,False,3.799982550845016e-11
evaluation,BASE,OLD_SESSION_VOLUME,2024—终点,0.190287459560924,0.06875110493083343,0.06956477894990541,0.0784236704087299,0.8870380407770567,-0.06687752957104919,634,0.32591094106662183,22,538.06088,1653.59999999996,False,6.605205271625891e-11
evaluation,BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
evaluation,BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
