fit_origin,complete_cycles,rows,old_weight,mixed_mse
2021-03-01,10,424,0.0,0.0026709201553495716
2021-04-01,10,424,0.0,0.0026709201553495716
2021-05-06,10,424,0.0,0.0026709201553495716
2021-06-01,10,424,0.0,0.0026709201553495716
2021-07-01,10,424,0.0,0.0026709201553495716
2021-08-02,11,458,0.5377301282263364,0.0030967775554569467
2021-09-01,11,458,0.5377301282263364,0.0030967775554569467
2021-10-08,11,458,0.5377301282263364,0.0030967775554569467
2021-11-01,11,458,0.5377301282263364,0.0030967775554569467
2021-12-01,11,458,0.5377301282263364,0.0030967775554569467
2022-01-04,11,458,0.5377301282263364,0.0030967775554569467
2022-02-07,12,512,0.46811369938989633,0.002926703827412807
2022-03-01,12,512,0.46811369938989633,0.002926703827412807
2022-04-01,12,512,0.46811369938989633,0.002926703827412807
2022-05-05,12,512,0.46811369938989633,0.002926703827412807
2022-06-01,12,512,0.46811369938989633,0.002926703827412807
2022-07-01,12,512,0.46811369938989633,0.002926703827412807
2022-08-01,12,512,0.46811369938989633,0.002926703827412807
2022-09-01,13,569,0.4819477058225953,0.0028331569475500504
2022-10-10,14,589,0.5995299049275571,0.0026845716284575713
2022-11-01,14,589,0.5995299049275571,0.0026845716284575713
2022-12-01,14,589,0.5995299049275571,0.0026845716284575713
2023-01-03,14,589,0.5995299049275571,0.0026845716284575713
2023-02-01,14,589,0.5995299049275571,0.0026845716284575713
2023-03-01,14,589,0.5995299049275571,0.0026845716284575713
2023-04-03,14,589,0.5995299049275571,0.0026845716284575713
2023-05-04,14,589,0.5995299049275571,0.0026845716284575713
2023-06-01,14,589,0.5995299049275571,0.0026845716284575713
2023-07-03,14,589,0.5995299049275571,0.0026845716284575713
2023-08-01,14,589,0.5995299049275571,0.0026845716284575713
2023-09-01,14,589,0.5995299049275571,0.0026845716284575713
2023-10-09,14,589,0.5995299049275571,0.0026845716284575713
2023-11-01,14,589,0.5995299049275571,0.0026845716284575713
2023-12-01,14,589,0.5995299049275571,0.0026845716284575713
2024-01-02,14,589,0.5995299049275571,0.0026845716284575713
2024-02-01,14,589,0.5995299049275571,0.0026845716284575713
2024-03-01,14,589,0.5995299049275571,0.0026845716284575713
2024-04-01,14,589,0.5995299049275571,0.0026845716284575713
2024-05-06,14,589,0.5995299049275571,0.0026845716284575713
2024-06-03,15,648,0.25301018148479976,0.002720167871157989
2024-07-01,15,648,0.25301018148479976,0.002720167871157989
2024-08-01,16,679,0.6512429229048412,0.0026294683786935997
2024-09-02,16,679,0.6512429229048412,0.0026294683786935997
2024-10-08,17,719,0.7571378737992782,0.00258645901172471
2024-11-01,18,724,0.5968271178797577,0.002994661937481274
2024-12-02,18,724,0.5968271178797577,0.002994661937481274
2025-01-02,18,724,0.5968271178797577,0.002994661937481274
2025-02-05,18,724,0.5968271178797577,0.002994661937481274
2025-03-03,18,724,0.5968271178797577,0.002994661937481274
2025-04-01,18,724,0.5968271178797577,0.002994661937481274
2025-05-06,18,724,0.5968271178797577,0.002994661937481274
2025-06-03,18,724,0.5968271178797577,0.002994661937481274
2025-07-01,18,724,0.5968271178797577,0.002994661937481274
2025-08-01,19,783,0.0,0.0030053009056855255
2025-09-01,19,783,0.0,0.0030053009056855255
2025-10-09,19,783,0.0,0.0030053009056855255
2025-11-03,20,842,0.9554981066132763,0.0033850114182181422
2025-12-01,20,842,0.9554981066132763,0.0033850114182181422
2026-01-05,20,842,0.9554981066132763,0.0033850114182181422
2026-02-02,20,842,1.0,0.0035057664968955403
2026-03-02,20,795,1.0,0.0035137856710738768
2026-04-01,20,795,1.0,0.0035137856710738768
2026-05-06,20,795,1.0,0.0035137856710738768
2026-06-01,20,795,1.0,0.0035137856710738768
2026-07-01,20,795,1.0,0.0035137856710738768
2026-08-03,20,790,1.0,0.0032747668385213306
