fit_index,fit_origin,training_cycle_count,training_rows,supports_minimum,latest_exit_index,weight_update_origin,old_weight,new_weight,calibration_status,old_mse,new_mse,error_cross_mean,difference_mse,raw_old_weight,mixed_mse
632,2014-12-31,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
633,2015-01-05,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
653,2015-02-02,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
668,2015-03-02,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
690,2015-04-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
711,2015-05-04,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
731,2015-06-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
752,2015-07-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
775,2015-08-03,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
796,2015-09-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
816,2015-10-08,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
833,2015-11-02,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
854,2015-12-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
877,2016-01-04,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
897,2016-02-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
913,2016-03-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
936,2016-04-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
956,2016-05-03,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
977,2016-06-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
997,2016-07-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1018,2016-08-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1041,2016-09-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1061,2016-10-10,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1077,2016-11-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1099,2016-12-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1121,2017-01-03,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1139,2017-02-03,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1157,2017-03-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1180,2017-04-05,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1198,2017-05-02,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1218,2017-06-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1240,2017-07-03,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1261,2017-08-01,0,0,False,,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1284,2017-09-01,1,59,False,1270.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1305,2017-10-09,1,59,False,1270.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1322,2017-11-01,1,59,False,1270.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1344,2017-12-01,2,118,False,1333.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1365,2018-01-02,2,118,False,1333.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1387,2018-02-01,2,118,False,1333.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1402,2018-03-01,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1424,2018-04-02,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1442,2018-05-02,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1464,2018-06-01,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1484,2018-07-02,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1506,2018-08-01,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1529,2018-09-03,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1548,2018-10-08,3,174,False,1393.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1566,2018-11-01,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1588,2018-12-03,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1608,2019-01-02,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1630,2019-02-01,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1645,2019-03-01,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
1666,2019-04-01,4,181,False,1557.0,,1.0,0.0,NO_VIEW_MINIMUM_COMPLETE_PAIRED_CYCLES_OR_ROWS,,,,,,
