period,cost,holding_decisions,prediction_available_rows,positive_new_weight_rows,mixed_weight_rows,completed_round_trips,learned_exit_cycles,unfilled_requests
evaluation,BASE,252,252,156,126,24,23,0
evaluation,STRESS,252,252,156,126,24,23,0
earlier_diagnostic,BASE,299,95,0,0,9,2,0
earlier_diagnostic,STRESS,299,95,0,0,9,2,0
