period,cost,entire_ledger_identical_to_old,known_prediction_sign_changes,days,holding_closes,terminal_nav_difference
evaluation,BASE,True,0,1604,252,0.0
evaluation,STRESS,True,0,1604,252,0.0
earlier_diagnostic,BASE,True,0,1219,299,0.0
earlier_diagnostic,STRESS,True,0,1219,299,0.0
