candidate_id,model,period,cost,source,sha256,start,terminal_open,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold
SAVED_0430,WITHIN_CYCLE_EXIT,earlier_diagnostic,BASE,reports\research\510300_within_cycle_exit_v1\earlier_diagnostic\BASE\WITHIN_CYCLE_EXIT_ledger.parquet,ce47e6f1bcdbbf9d2256b92d89c8f5c79800453f1785e8889ee9bd77e10fe9a7,2015-01-05 00:00:00,2019-12-31 00:00:00,0.5096532618000003,0.0852038060036554,0.08883029205693696,0.11819036317547235,0.7515865902286322,-0.1379164435416316,1219,0.22240871730735812,18,922.74764,2688.600000000003,False,4.6270542952697724e-11,0.04624257780701148
SAVED_0430,WITHIN_CYCLE_EXIT,earlier_diagnostic,STRESS,reports\research\510300_within_cycle_exit_v1\earlier_diagnostic\STRESS\WITHIN_CYCLE_EXIT_ledger.parquet,e2b326e0c9533f3bf6ece7ddfee18b74429597d1df3272cc98e1cb63ecc720dc,2015-01-05 00:00:00,2019-12-31 00:00:00,0.4884308946000002,0.0821580153296775,0.08601615535147543,0.11816547832684132,0.7279296506003042,-0.1391665613986051,1219,0.22234392717457682,18,1831.12108,5232.899999999969,False,7.003109203651547e-11,0.04345774324399082
SAVED_0433,MARKET_PATH_EXIT,evaluation,BASE,reports\research\510300_market_path_exit_v1\evaluation\BASE\MARKET_PATH_EXIT_ledger.parquet,da8525233fece4b59eb152f533a3835c067917475cfff6d66cae11e7a72b65c6,2020-01-02 00:00:00,2026-08-14 00:00:00,0.5627663853000027,0.06967868864425397,0.0705080202613379,0.07977124985533804,0.883877592355659,-0.11444223426810142,1604,0.19447826891732978,40,2152.52294,6483.999999999963,False,5.638867150992155e-11,0.033421216998636996
SAVED_0433,MARKET_PATH_EXIT,evaluation,STRESS,reports\research\510300_market_path_exit_v1\evaluation\STRESS\MARKET_PATH_EXIT_ledger.parquet,b63c8314849483176d0a613923695a4404ee1679f8c8f39900dbe3773771585d,2020-01-02 00:00:00,2026-08-14 00:00:00,0.5198364216000002,0.06519275214818776,0.06630223164583206,0.07973989985607459,0.8314812504844292,-0.11682680250818454,1604,0.1944044267722347,40,4238.91568,11532.70000000007,False,6.207301339600235e-11,0.029107807634445114
SAVED_0433,MARKET_PATH_EXIT,earlier_diagnostic,BASE,reports\research\510300_market_path_exit_v1\earlier_diagnostic\BASE\MARKET_PATH_EXIT_ledger.parquet,ce47e6f1bcdbbf9d2256b92d89c8f5c79800453f1785e8889ee9bd77e10fe9a7,2015-01-05 00:00:00,2019-12-31 00:00:00,0.5096532618000003,0.0852038060036554,0.08883029205693696,0.11819036317547235,0.7515865902286322,-0.1379164435416316,1219,0.22240871730735812,18,922.74764,2688.600000000003,False,4.6270542952697724e-11,0.04624257780701148
SAVED_0433,MARKET_PATH_EXIT,earlier_diagnostic,STRESS,reports\research\510300_market_path_exit_v1\earlier_diagnostic\STRESS\MARKET_PATH_EXIT_ledger.parquet,e2b326e0c9533f3bf6ece7ddfee18b74429597d1df3272cc98e1cb63ecc720dc,2015-01-05 00:00:00,2019-12-31 00:00:00,0.4884308946000002,0.0821580153296775,0.08601615535147543,0.11816547832684132,0.7279296506003042,-0.1391665613986051,1219,0.22234392717457682,18,1831.12108,5232.899999999969,False,7.003109203651547e-11,0.04345774324399082
SAVED_0446,SESSION_STRENGTH_WITHIN,evaluation,BASE,reports\research\510300_session_strength_within_v1\evaluation\BASE\SESSION_STRENGTH_WITHIN_ledger.parquet,2c7f7f9a14d2c824ed9f48a2a575713eb6c5b00b4ce7dd8c41889005ecd5e5c8,2020-01-02 00:00:00,2026-08-14 00:00:00,0.4922678837000004,0.0622549302127963,0.06380105050225951,0.08291390236472874,0.7694855589067079,-0.17020846068008155,1604,0.1988387138936485,40,2046.8232600000001,6172.099999999968,False,6.573941391252447e-11,0.025997458567179325
SAVED_0446,SESSION_STRENGTH_WITHIN,evaluation,STRESS,reports\research\510300_session_strength_within_v1\evaluation\STRESS\SESSION_STRENGTH_WITHIN_ledger.parquet,109321abbbe1ed693b8c4b99ae08e6556d95d73b49a19a60fdeba3002bf75015,2020-01-02 00:00:00,2026-08-14 00:00:00,0.45100526540000146,0.05777051212304612,0.05956710002637895,0.0828806018143338,0.7187097912225476,-0.17244829760917535,1604,0.19881756888585356,40,4032.1469200000006,11039.900000000034,False,5.32054400537163e-11,0.02168556760930347
SAVED_0446,SESSION_STRENGTH_WITHIN,earlier_diagnostic,BASE,reports\research\510300_session_strength_within_v1\earlier_diagnostic\BASE\SESSION_STRENGTH_WITHIN_ledger.parquet,f7a77ccd1f2551de6d199b24d8adbce4d085543b3bfbcf816f40cfd81bc33e52,2015-01-05 00:00:00,2019-12-31 00:00:00,0.5217366851000005,0.08692269237157221,0.09043652637193134,0.11839128285999884,0.7638782534257627,-0.1379164435416316,1219,0.2166883848772967,18,917.5629800000002,2672.600000000002,False,5.10453901370056e-11,0.04796146417492829
SAVED_0446,SESSION_STRENGTH_WITHIN,earlier_diagnostic,STRESS,reports\research\510300_session_strength_within_v1\earlier_diagnostic\STRESS\SESSION_STRENGTH_WITHIN_ledger.parquet,505bcca07aac556a1224c351ad564955c91321e400abf356d90e6e554dccaa64,2015-01-05 00:00:00,2019-12-31 00:00:00,0.5004583470000001,0.08388841131225966,0.08763815435146359,0.11837256068159188,0.7403586933225159,-0.1391665613986051,1219,0.21663776480279723,18,1821.0306,5201.700000000004,False,7.003109203651547e-11,0.045188139226572985
SAVED_0402,CONTINUOUS_REFERENCE_MIN_VARIANCE,evaluation,BASE,reports\research\510300_continuous_reference_min_variance_v1\evaluation\BASE\CONTINUOUS_REFERENCE_MIN_VARIANCE_ledger.parquet,864a38a3e707c277b4079cb9ce20648e4bd2409e801682da84187aa2c39d123e,2020-01-02 00:00:00,2026-08-14 00:00:00,0.24479840689999874,0.03358895008381669,0.03340280679001166,0.02708670020680005,1.2331811012411902,-0.0230773650701304,1604,0.044585779150991024,45,761.1186200000001,2262.4999999999645,False,4.695266397902742e-11,-0.002668521561800287
SAVED_0402,CONTINUOUS_REFERENCE_MIN_VARIANCE,evaluation,STRESS,reports\research\510300_continuous_reference_min_variance_v1\evaluation\STRESS\CONTINUOUS_REFERENCE_MIN_VARIANCE_ledger.parquet,e7371121c04f2af078ee69e36a4bebc6b9d8690767c3da1bda3fd83d9dca9f2f,2020-01-02 00:00:00,2026-08-14 00:00:00,0.23100648979999944,0.03185300250380885,0.03171986770924186,0.027020129920864125,1.173934685071545,-0.023569045524213978,1604,0.04460440927006789,45,1490.30204,4072.0000000000236,False,3.998934516857844e-11,-0.004231942009933799
SAVED_0402,CONTINUOUS_REFERENCE_MIN_VARIANCE,earlier_diagnostic,BASE,reports\research\510300_continuous_reference_min_variance_v1\earlier_diagnostic\BASE\CONTINUOUS_REFERENCE_MIN_VARIANCE_ledger.parquet,84627b8d8b953d14c5aa196a04a153da9db8d66bd0e9bcc0d1cb7628b21564fd,2015-01-05 00:00:00,2019-12-31 00:00:00,0.1568584352000007,0.0293488950560923,0.03162303621561269,0.0733779218584707,0.4309611857992698,-0.11074951407131403,1219,0.11458489947978016,35,786.8129600000001,2425.6999999999634,False,5.218225851422176e-11,-0.009612333140551623
SAVED_0402,CONTINUOUS_REFERENCE_MIN_VARIANCE,earlier_diagnostic,STRESS,reports\research\510300_continuous_reference_min_variance_v1\earlier_diagnostic\STRESS\CONTINUOUS_REFERENCE_MIN_VARIANCE_ledger.parquet,5b7e0cc9a843c888ea3262615d102a8b16ba511f235d278b2f882a00ce013c81,2015-01-05 00:00:00,2019-12-31 00:00:00,0.14153592399999956,0.026627814295249148,0.028969239118058602,0.0732794877947668,0.39532534942373626,-0.11216937802319174,1219,0.1146310833475733,35,1564.3152,4525.500000000001,False,4.160938260611147e-11,-0.012072457790437526
