round,title,source,main_scope,main_rows,earlier_scope,earlier_rows
1,条件切换与滚动回归,reports\research\510300_adaptive_allocation_v1\result.json,FULL_SAVED_CSV,58,NO_METRIC_ROWS,0
2,涨跌分类与幅度加权,reports\research\510300_return_classification_v1\result.json,FULL_SAVED_CSV,54,NO_METRIC_ROWS,0
3,免费全球盘后信息,reports\research\510300_overnight_global_information_v1\result.json,FULL_SAVED_CSV,34,NO_METRIC_ROWS,0
4,央行操作量与资金压力,reports\research\510300_policy_liquidity_quantity_v1\result.json,FULL_SAVED_CSV,34,NO_METRIC_ROWS,0
5,直接学习风险收益与换仓成本,reports\research\510300_direct_policy_utility_v1\result.json,FULL_SAVED_CSV,26,NO_METRIC_ROWS,0
6,事先可知的日历条件,reports\research\510300_calendar_liquidity_timing_v1\result.json,FULL_SAVED_CSV,30,NO_METRIC_ROWS,0
7,全期限逆回购与因子口径修正,reports\research\510300_total_reverse_repo_v2\result.json,FULL_SAVED_CSV,32,NO_METRIC_ROWS,0
8,原始财报盈利改善广度,reports\research\510300_original_earnings_breadth_v1\result.json,FULL_SAVED_CSV,34,NO_METRIC_ROWS,0
9,按市场状态持续学习的机制组合,reports\research\510300_contextual_expert_tracking_v1\result.json,FULL_SAVED_CSV,24,NO_METRIC_ROWS,0
10,原始公告季度申购赎回与价格增量,reports\research\510300_original_quarterly_flow_policy_v1\result.json,FULL_SAVED_CSV,16,NO_METRIC_ROWS,0
11,前瞻EPS月末收益风险仓位,reports\research\510300_forward_eps_monthly_policy_v2_csi\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
12,全部成熟价格基线与EPS误差修正,reports\research\510300_forward_eps_residual_policy_v2\result.json,FULL_SAVED_CSV,6,NO_METRIC_ROWS,0
13,盈利三条件进入与明确退出,reports\research\510300_forward_eps_explicit_entry_exit_v2\result.json,FULL_SAVED_CSV,6,NO_METRIC_ROWS,0
14,盈利预测进入与每日或月末退出,reports\research\510300_forward_eps_forecast_entry_exit_v1\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
15,原EPS仓位加预测期限与趋势退出,reports\research\510300_forward_eps_utility_exit_v1\result.json,FULL_SAVED_CSV,8,NO_METRIC_ROWS,0
16,前瞻盈利修正分布与一致进出场,reports\research\510300_forward_eps_revision_distribution_policy_v1\result.json,FULL_SAVED_CSV,14,NO_METRIC_ROWS,0
17,前瞻EPS加研报估值空间与共同月份对照,reports\research\510300_forward_eps_report_valuation_policy_v1\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
18,EPS持续更新与可选估值修正,reports\research\510300_forward_eps_optional_valuation_v1\result.json,FULL_SAVED_CSV,6,NO_METRIC_ROWS,0
19,两机构前瞻盈利及信息质量,reports\research\510300_forward_eps_two_institution_policy_v2\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
20,两机构报告PE关系条件与去PE,reports\research\510300_forward_eps_valuation_consistency_policy_v1\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
21,原国信PE关系条件与去除PE的相同月份对照,reports\research\510300_forward_eps_guosen_pe_condition_policy_v1\result.json,FULL_SAVED_CSV,8,NO_METRIC_ROWS,0
22,同六方法补齐明确摊薄字段后的来源重放,reports\research\510300_forward_eps_source_v4_replay_pipeline_v1\result.json,NO_METRIC_ROWS,0,NO_METRIC_ROWS,0
23,十二种简单价格策略的明确进出场,reports\research\510300_simple_price_entry_exit_v1\result.json,FULL_SAVED_CSV,26,NO_METRIC_ROWS,0
24,切换策略局部改动及季度选择,reports\research\510300_simple_regime_local_v1\result.json,FULL_SAVED_CSV,54,NO_METRIC_ROWS,0
25,日内与隔夜涨跌分歧,reports\research\510300_simple_session_divergence_v1\result.json,FULL_SAVED_CSV,34,NO_METRIC_ROWS,0
26,量价条件与急跌回升,reports\research\510300_simple_volume_reversal_v1\result.json,FULL_SAVED_CSV,14,NO_METRIC_ROWS,0
27,预定限价、有效期与两种成交假设,reports\research\510300_simple_limit_execution_v1\result.json,FULL_SAVED_CSV,56,FULL_SAVED_CSV,6
28,固定信号组合与多数共识仓位,reports\research\510300_simple_signal_blend_v1\result.json,FULL_SAVED_CSV,18,FULL_SAVED_CSV,18
29,双信号权重与风险缩减,reports\research\510300_simple_pair_risk_v1\result.json,FULL_SAVED_CSV,26,FULL_SAVED_CSV,26
30,已有持仓盘中保护退出,reports\research\510300_simple_intraday_protection_v1\result.json,FULL_SAVED_CSV,20,FULL_SAVED_CSV,20
31,根据成熟持仓周期学习退出,reports\research\510300_learned_cycle_exit_v1\result.json,FULL_SAVED_CSV,20,FULL_SAVED_CSV,20
32,退出后等待原条件重现,reports\research\510300_rearmed_session_exit_v1\result.json,FULL_SAVED_CSV,14,FULL_SAVED_CSV,14
33,入场前检查同一线性退出模型,reports\research\510300_consistent_entry_exit_v1\result.json,FULL_SAVED_CSV,6,FULL_SAVED_CSV,6
34,趋势与学习退出各半,reports\research\510300_trend_learned_equal_blend_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
35,三个高低价关系因子,reports\research\510300_high_low_relation_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
36,从完整交易学习入场,reports\research\510300_learned_entry_opportunity_v1\result.json,FULL_SAVED_CSV,6,FULL_SAVED_CSV,6
37,成交量加权均线与普通均线,reports\research\510300_volume_weighted_trend_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
38,旧交易随时间降低训练权重,reports\research\510300_recency_weighted_exit_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
39,每天按强趋势和其余状态选择策略,reports\research\510300_market_state_signal_router_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
40,入场时选定策略，退出后再选择,reports\research\510300_committed_state_router_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
41,进入时按波动率或固定半仓控制预算,reports\research\510300_entry_volatility_sizing_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
42,连续两个收盘下跌退出,reports\research\510300_price_streak_exit_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
43,原退出模型下午提前确认,reports\research\510300_afternoon_learned_exit_v1\result.json,FULL_SAVED_CSV,6,FULL_SAVED_CSV,6
44,学习五日内继续持有价值,reports\research\510300_short_horizon_cycle_exit_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
45,原策略过去一年赚钱才进入,reports\research\510300_self_performance_entry_v1\result.json,FULL_SAVED_CSV,6,FULL_SAVED_CSV,6
46,急跌回升和原学习退出各半,reports\research\510300_panic_learned_equal_blend_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
47,增加更频繁的第三个信号,reports\research\510300_broader_equal_blends_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
48,方向效率自动调整均线速度,reports\research\510300_adaptive_speed_trend_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
49,学习退出先减半，余下按原规则退出,reports\research\510300_partial_learned_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
50,进入价格不得超过信号收盘加一日波动幅度,reports\research\510300_volatility_capped_entry_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
51,放量收强与原学习退出各半,reports\research\510300_climax_learned_equal_blend_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
52,学习含后续退出选择的继续价值,reports\research\510300_dynamic_continuation_exit_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
53,方差比选择突破或反弹进入,reports\research\510300_variance_ratio_entry_router_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
54,压缩后等待实际突破进入,reports\research\510300_compression_confirmed_entry_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
55,先突破后回踩确认进入,reports\research\510300_breakout_retest_entry_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
56,成交量加权及等权收盘位置确认进入,reports\research\510300_close_location_entry_gate_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
57,月内两端与原学习退出固定各半,reports\research\510300_calendar_learned_equal_blend_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
58,用过去一年净收益每月启停日历预算,reports\research\510300_calendar_monthly_activation_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
59,扩大进入路径的线性退出及等待新机会,reports\research\510300_entry_path_coverage_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
60,原学习退出加持仓累积转弱退出,reports\research\510300_cycle_cusum_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
61,阶段新低后重回固定起点量价价格,reports\research\510300_low_anchored_reclaim_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
