candidate_id,model,name,assumption,source_rounds,source_references,status,main_base_net_sharpe,main_base_annualized_return,main_base_cumulative_return,main_base_max_drawdown,main_base_trading_days,main_base_trade_count,main_base_commission,main_base_slippage_cost,main_base_annualized_return_excess_vs_buy_hold,main_stress_net_sharpe,main_stress_annualized_return,main_stress_cumulative_return,main_stress_max_drawdown,main_stress_trading_days,main_stress_trade_count,main_stress_commission,main_stress_slippage_cost,main_stress_annualized_return_excess_vs_buy_hold,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_cumulative_return,earlier_base_max_drawdown,earlier_base_trading_days,earlier_base_trade_count,earlier_base_commission,earlier_base_slippage_cost,earlier_base_annualized_return_excess_vs_buy_hold,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_cumulative_return,earlier_stress_max_drawdown,earlier_stress_trading_days,earlier_stress_trade_count,earlier_stress_commission,earlier_stress_slippage_cost,earlier_stress_annualized_return_excess_vs_buy_hold,minimum_sharpe,minimum_annualized_excess,all_four_positive_excess,all_four_sharpe_at_least_1_2
SAVED_0402,CONTINUOUS_REFERENCE_MIN_VARIANCE,连续历史两策略最小方差预算,NEXT_OPEN,"91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130",40,COMPLETE_COMPARABLE,1.2331811012411902,0.0335889500838166,0.2447984068999987,-0.0230773650701304,1604,45,761.1186200000001,2262.4999999999645,-0.0026685215618002,1.173934685071545,0.0318530025038088,0.2310064897999994,-0.0235690455242139,1604,45,1490.30204,4072.000000000024,-0.0042319420099337,0.4309611857992698,0.0293488950560923,0.1568584352000007,-0.110749514071314,1219.0,35.0,786.8129600000001,2425.6999999999634,-0.0096123331405516,0.3953253494237362,0.0266278142952491,0.1415359239999995,-0.1121693780231917,1219.0,35.0,1564.3152,4525.500000000001,-0.0120724577904375,0.3953253494237362,-0.0120724577904375,False,False
SAVED_0405,OWN_CUSHION_CONTINUOUS,第91轮加自身回撤控制,NEXT_OPEN,94,1,COMPLETE_COMPARABLE,1.2314647038296989,0.0330324339724686,0.2403627297999992,-0.0224593998399778,1604,45,751.9540400000001,2233.399999999966,-0.0032250376731483,1.1717896576488926,0.0312545831061117,0.2262822877999997,-0.0228679287061778,1604,45,1469.14244,4012.600000000024,-0.0048303614076308,0.2953050798755783,0.0157539964657926,0.081920039599998,-0.0989488361364315,1219.0,36.0,594.49208,1828.2999999999668,-0.0232072317308512,0.2569092057150443,0.0133268660335573,0.0689603882000015,-0.1018910384649563,1219.0,36.0,1159.92236,3359.400000000003,-0.0253734060521293,0.2569092057150443,-0.0253734060521293,False,False
SAVED_0393,TWO_POLICY_MIN_VARIANCE,两条原策略非负最小方差预算,NEXT_OPEN,"82,83,84,85,88,89,90,91,92",9,COMPLETE_COMPARABLE,1.1370690302120554,0.0398956325605991,0.2960142475999998,-0.0358472954730906,1604,47,866.55048,2617.199999999966,0.0036381609149821,1.0853002502456133,0.0379380415390727,0.2799288820000003,-0.0366623856149249,1604,47,1712.2236,4680.100000000015,0.0018530970253301,0.5197865248179951,0.0360942412995579,0.1955534556000004,-0.110749514071314,1219.0,35.0,765.6088800000001,2354.099999999968,-0.0028669868970859,0.4858078110478315,0.0335135603982515,0.1806286449999989,-0.1121693780231917,1219.0,35.0,1522.671,4400.800000000003,-0.0051867116874351,0.4858078110478315,-0.0051867116874351,False,False
SAVED_0425,PANIC_PROFIT_LIMIT_THROUGH,事前止盈限价：穿价情景,NEXT_OPEN,110,1,COMPLETE_COMPARABLE,1.124013461496012,0.0223027088225552,0.1574279152999997,-0.0091226233146052,1604,6,258.11694,758.8000000000279,-0.0139547628230617,1.106103004967136,0.0218246199311193,0.1538449666000006,-0.0091096338843359,1604,6,515.30668,1418.800000000011,-0.0142603245826233,-0.1068356714223242,-0.0101567240065839,-0.0501231534999993,-0.1441437715178881,1219.0,16.0,608.1307,1926.0999999999617,-0.0491179522032278,-0.1387479032812565,-0.012358916201921,-0.0607204246000003,-0.1465795165203521,1219.0,16.0,1209.78492,3529.4999999999945,-0.0510591882876077,-0.1387479032812565,-0.0510591882876077,False,False
SAVED_0424,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,事前止盈限价：收盘仍在价上情景,NEXT_OPEN,110,1,COMPLETE_COMPARABLE,1.124013461496012,0.0223027088225552,0.1574279152999997,-0.0091226233146052,1604,6,258.11694,758.8000000000279,-0.0139547628230617,1.106103004967136,0.0218246199311193,0.1538449666000006,-0.0091096338843359,1604,6,515.30668,1418.800000000011,-0.0142603245826233,-0.1068356714223242,-0.0101567240065839,-0.0501231534999993,-0.1441437715178881,1219.0,16.0,608.1307,1926.0999999999617,-0.0491179522032278,-0.1387479032812565,-0.012358916201921,-0.0607204246000003,-0.1465795165203521,1219.0,16.0,1209.78492,3529.4999999999945,-0.0510591882876077,-0.1387479032812565,-0.0510591882876077,False,False
SAVED_0258,V6_PANIC_RECOVERY,短期高波动急跌后回升,NEXT_OPEN,26,1,EARLIER_NOT_AVAILABLE,1.1180113935237783,0.0238306566355194,0.1689422523,-0.0091164438544393,1604,6,260.24954,763.600000000028,-0.0124268150100975,1.0930623071700385,0.0231626933620548,0.1638966937999998,-0.0102354332326637,1604,6,519.1612400000001,1427.2000000000112,-0.0129222511516878,,,,,,,,,,,,,,,,,,,,,,
SAVED_0342,PANIC_ONLY,原短期高波动急跌后回升,NEXT_OPEN,"46,64,65,66,67,68,69,70,74,76,77,82,83,84,85,88,110",17,COMPLETE_COMPARABLE,1.1180113935237783,0.0238306566355194,0.1689422523,-0.0091164438544393,1604,6,260.24954,763.600000000028,-0.0124268150100975,1.0930623071700385,0.0231626933620548,0.1638966937999998,-0.0102354332326637,1604,6,519.1612400000001,1427.2000000000112,-0.0129222511516878,-0.1068356714223242,-0.0101567240065839,-0.0501231534999993,-0.1441437715178881,1219.0,16.0,608.1307,1926.0999999999617,-0.0491179522032278,-0.1387479032812565,-0.012358916201921,-0.0607204246000003,-0.1465795165203521,1219.0,16.0,1209.78492,3529.4999999999945,-0.0510591882876077,-0.1387479032812565,-0.0510591882876077,False,False
SAVED_0416,CONTINUOUS_INTERACTION_BUDGET,九项交互学习参考与原急跌的最小方差预算,NEXT_OPEN,103,1,COMPLETE_COMPARABLE,1.1154614042899906,0.0301858140304219,0.2178832210000036,-0.0248059398233225,1604,45,746.2558,2216.999999999996,-0.006071657615195,1.0558903071847412,0.0284753379685149,0.2045428663999975,-0.0256450354839787,1604,45,1459.9267200000002,3994.000000000037,-0.0076096065452277,0.441736974800756,0.0301646047623111,0.1614836968000002,-0.110749514071314,1219.0,35.0,786.5606400000001,2424.499999999964,-0.0087966234343327,0.4061910327260633,0.0274467135238221,0.1461299625999995,-0.1121693780231917,1219.0,35.0,1563.8074800000002,4523.1,-0.0112535585618645,0.4061910327260633,-0.0112535585618645,False,False
SAVED_0401,CONTEXTUAL_PARENT_ADVANTAGE,当前市场状态预测两父组合相对收益,NEXT_OPEN,90,1,COMPLETE_COMPARABLE,1.1116660333863215,0.0399221076503982,0.2962329621000004,-0.0358472954730906,1604,51,954.70758,2900.699999999985,0.0036646360047812,1.0558744939331757,0.0377759566009103,0.2786046769999998,-0.0366623856149249,1604,51,1879.7646000000004,5172.8000000000375,0.0016910120871676,0.5200440992402658,0.0370301999611044,0.2010035834,-0.110749514071314,1219.0,48.0,1036.5833200000002,3145.899999999966,-0.0019310282355394,0.4757307389893062,0.0335819631886037,0.1810223014000016,-0.1121693780231917,1219.0,48.0,2056.13972,5904.499999999991,-0.0051183088970829,0.4757307389893062,-0.0051183088970829,False,False
SAVED_0386,TWO_POLICY_RISK_BUDGET,两条原策略按已实现风险分配预算,NEXT_OPEN,"76,77,78,81,82,83,84,85",8,COMPLETE_COMPARABLE,1.09122947140656,0.0405250638644389,0.3012225615000004,-0.032443686458177,1604,53,1044.9877,3163.899999999944,0.004267592218822,1.0317848212950689,0.0381660657894595,0.2817937708000003,-0.0339883805917269,1604,53,2073.24584,5683.600000000015,0.0020811212757169,0.5590527208735717,0.0385599681033898,0.2099543464999989,-0.110749514071314,1219.0,34.0,739.9307000000001,2256.7999999999665,-0.0004012600932541,0.5256027693555012,0.0360406254615567,0.1952418495999995,-0.1121693780231917,1219.0,34.0,1471.3300800000002,4238.399999999999,-0.0026596466241299,0.5256027693555012,-0.0026596466241299,False,False
