period,panic_state,learned_state,target,decision_days
evaluation,0.0,0.0,0.0,1341
evaluation,0.0,1.0,0.5,235
evaluation,1.0,0.0,0.5,10
evaluation,1.0,1.0,1.0,18
earlier_diagnostic,0.0,0.0,0.0,880
earlier_diagnostic,0.0,1.0,0.5,299
earlier_diagnostic,1.0,0.0,0.5,40
earlier_diagnostic,1.0,1.0,1.0,0
