period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,ZERO_CONFIRM_BAND_00,456,133,137,0,2,0.20017556454657986
evaluation,BASE,ZERO_CONFIRM_BAND_05,456,69,66,0,0,0.2003157987919408
evaluation,BASE,ZERO_CONFIRM_BAND_15,456,52,48,0,0,0.20198411315200784
evaluation,BASE,ZERO_CONFIRM_BAND_20,462,47,44,0,0,0.20204520081006203
evaluation,BASE,INTENT_MIX_BAND_00,614,96,129,0,0,0.1981537427802624
evaluation,BASE,INTENT_MIX_BAND_05,614,75,78,0,0,0.1988050188192829
evaluation,BASE,INTENT_MIX_BAND_15,614,66,63,0,0,0.20090294614366072
evaluation,BASE,INTENT_MIX_BAND_20,614,64,62,0,0,0.1998867476213331
evaluation,STRESS,ZERO_CONFIRM_BAND_00,456,135,142,0,1,0.20023369661795823
evaluation,STRESS,ZERO_CONFIRM_BAND_05,456,69,66,0,0,0.20046368602457212
evaluation,STRESS,ZERO_CONFIRM_BAND_15,456,52,48,0,0,0.2011717077554431
evaluation,STRESS,ZERO_CONFIRM_BAND_20,462,47,46,0,0,0.2015517490490408
evaluation,STRESS,INTENT_MIX_BAND_00,614,92,126,0,0,0.19836077056233267
evaluation,STRESS,INTENT_MIX_BAND_05,614,75,79,0,0,0.19893305837871267
evaluation,STRESS,INTENT_MIX_BAND_15,614,66,63,0,0,0.20099857744284735
evaluation,STRESS,INTENT_MIX_BAND_20,614,64,62,0,0,0.19998826016791924
earlier_diagnostic,BASE,ZERO_CONFIRM_BAND_00,460,155,133,0,0,0.2801677585902561
earlier_diagnostic,BASE,ZERO_CONFIRM_BAND_05,460,44,43,0,0,0.2795961202578734
earlier_diagnostic,BASE,ZERO_CONFIRM_BAND_15,460,28,29,0,0,0.2812307639204945
earlier_diagnostic,BASE,ZERO_CONFIRM_BAND_20,460,26,27,0,0,0.2821533743037792
earlier_diagnostic,BASE,INTENT_MIX_BAND_00,523,62,84,0,0,0.2724644389180228
earlier_diagnostic,BASE,INTENT_MIX_BAND_05,523,40,43,0,0,0.27157058680062673
earlier_diagnostic,BASE,INTENT_MIX_BAND_15,523,35,35,0,0,0.27586014280041676
earlier_diagnostic,BASE,INTENT_MIX_BAND_20,523,30,32,0,0,0.2762833936766748
earlier_diagnostic,STRESS,ZERO_CONFIRM_BAND_00,466,156,135,0,0,0.2837945462850103
earlier_diagnostic,STRESS,ZERO_CONFIRM_BAND_05,466,45,42,0,0,0.28342864810522966
earlier_diagnostic,STRESS,ZERO_CONFIRM_BAND_15,466,29,29,0,0,0.28529616833737026
earlier_diagnostic,STRESS,ZERO_CONFIRM_BAND_20,466,27,27,0,0,0.28606872331984656
earlier_diagnostic,STRESS,INTENT_MIX_BAND_00,529,54,80,0,0,0.27652649869140905
earlier_diagnostic,STRESS,INTENT_MIX_BAND_05,529,41,44,0,0,0.27580546391612426
earlier_diagnostic,STRESS,INTENT_MIX_BAND_15,529,36,35,0,0,0.2794825448027019
earlier_diagnostic,STRESS,INTENT_MIX_BAND_20,529,31,32,0,0,0.27965254573074705
