period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,mean_target,rebalance_band,zero_confirmations
evaluation,ZERO_CONFIRM_BAND_00,BASE,1604,436,1168,0,0.18877627814358988,0.0,2
evaluation,ZERO_CONFIRM_BAND_05,BASE,1604,436,1168,0,0.18877627814358988,0.05,2
evaluation,ZERO_CONFIRM_BAND_15,BASE,1604,436,1168,0,0.18877627814358988,0.15,2
evaluation,ZERO_CONFIRM_BAND_20,BASE,1604,436,1168,0,0.18877627814358988,0.2,2
evaluation,INTENT_MIX_BAND_00,BASE,1604,615,989,0,0.19888512905769798,0.0,1
evaluation,INTENT_MIX_BAND_05,BASE,1604,615,989,0,0.19888512905769798,0.05,1
evaluation,INTENT_MIX_BAND_15,BASE,1604,615,989,0,0.19888512905769798,0.15,1
evaluation,INTENT_MIX_BAND_20,BASE,1604,615,989,0,0.19888512905769798,0.2,1
evaluation,ZERO_CONFIRM_BAND_00,STRESS,1604,436,1168,0,0.1888304587356554,0.0,2
evaluation,ZERO_CONFIRM_BAND_05,STRESS,1604,436,1168,0,0.1888304587356554,0.05,2
evaluation,ZERO_CONFIRM_BAND_15,STRESS,1604,436,1168,0,0.1888304587356554,0.15,2
evaluation,ZERO_CONFIRM_BAND_20,STRESS,1604,436,1168,0,0.1888304587356554,0.2,2
evaluation,INTENT_MIX_BAND_00,STRESS,1604,615,989,0,0.19906205407764183,0.0,1
evaluation,INTENT_MIX_BAND_05,STRESS,1604,615,989,0,0.19906205407764183,0.05,1
evaluation,INTENT_MIX_BAND_15,STRESS,1604,615,989,0,0.19906205407764183,0.15,1
evaluation,INTENT_MIX_BAND_20,STRESS,1604,615,989,0,0.19906205407764183,0.2,1
earlier_diagnostic,ZERO_CONFIRM_BAND_00,BASE,1219,446,773,0,0.2722196877007909,0.0,2
earlier_diagnostic,ZERO_CONFIRM_BAND_05,BASE,1219,446,773,0,0.2722196877007909,0.05,2
earlier_diagnostic,ZERO_CONFIRM_BAND_15,BASE,1219,446,773,0,0.2722196877007909,0.15,2
earlier_diagnostic,ZERO_CONFIRM_BAND_20,BASE,1219,446,773,0,0.2722196877007909,0.2,2
earlier_diagnostic,INTENT_MIX_BAND_00,BASE,1219,524,695,0,0.2734814646864234,0.0,1
earlier_diagnostic,INTENT_MIX_BAND_05,BASE,1219,524,695,0,0.2734814646864234,0.05,1
earlier_diagnostic,INTENT_MIX_BAND_15,BASE,1219,524,695,0,0.2734814646864234,0.15,1
earlier_diagnostic,INTENT_MIX_BAND_20,BASE,1219,524,695,0,0.2734814646864234,0.2,1
earlier_diagnostic,ZERO_CONFIRM_BAND_00,STRESS,1219,452,767,0,0.27580913151900366,0.0,2
earlier_diagnostic,ZERO_CONFIRM_BAND_05,STRESS,1219,452,767,0,0.27580913151900366,0.05,2
earlier_diagnostic,ZERO_CONFIRM_BAND_15,STRESS,1219,452,767,0,0.27580913151900366,0.15,2
earlier_diagnostic,ZERO_CONFIRM_BAND_20,STRESS,1219,452,767,0,0.27580913151900366,0.2,2
earlier_diagnostic,INTENT_MIX_BAND_00,STRESS,1219,530,689,0,0.27748954869784054,0.0,1
earlier_diagnostic,INTENT_MIX_BAND_05,STRESS,1219,530,689,0,0.27748954869784054,0.05,1
earlier_diagnostic,INTENT_MIX_BAND_15,STRESS,1219,530,689,0,0.27748954869784054,0.15,1
earlier_diagnostic,INTENT_MIX_BAND_20,STRESS,1219,530,689,0,0.27748954869784054,0.2,1
