model,reused_ten_point_band,name,main_base_net_sharpe,main_base_annualized_return,main_base_max_drawdown,main_base_trade_count,main_stress_net_sharpe,main_stress_annualized_return,main_stress_max_drawdown,main_stress_trade_count,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_max_drawdown,earlier_base_trade_count,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_max_drawdown,earlier_stress_trade_count,minimum_joint_ratio
INTENT_MIX_BAND_00,False,简单三来源合并、0个百分点调仓门槛,1.2405013820119346,0.10459650105918336,-0.07884983281915131,225,1.172798601324537,0.09821599593680244,-0.08416974266692658,218,1.184006405706422,0.10795886065051478,-0.07453120352772385,146,1.1873958854117022,0.10913348474467692,-0.07593492827342192,134,0.9773321677704476
TWO_CLOSE_ZERO_EXIT,True,原198两次归零确认、十个百分点,1.230423970532244,0.1059963743703196,-0.07808473542008036,113,1.161128163111062,0.09931285910499427,-0.08340941783287366,113,1.1826547969585695,0.1120663874925603,-0.07891815727851231,63,1.1867365818784206,0.11331503886373448,-0.08040760814108888,64,0.9676068025925516
INTENT_MIX_BAND_05,False,简单三来源合并、5个百分点调仓门槛,1.2270004722282442,0.10455482177986801,-0.07964244868828955,153,1.1595454205367524,0.09812579856326194,-0.08498816645767637,154,1.1898001501241597,0.1083706706865748,-0.07407250058747086,83,1.1927811472391,0.1095530912834974,-0.07562805774024413,85,0.9662878504472937
ZERO_CONFIRM_BAND_05,False,两次归零确认、5个百分点调仓门槛,1.2299622526146123,0.1057300824611953,-0.07845690962825602,135,1.1591243419001465,0.09893914959700723,-0.08391969736826584,135,1.1830922110231477,0.11264851806549729,-0.075572852683693,87,1.1857947461198828,0.11368324231701923,-0.07718002373158328,87,0.9659369515834554
INTENT_MIX_80_15_05,True,原200简单三来源合并、十个百分点,1.225882749124816,0.1047291233855979,-0.08044085653883468,145,1.1585699469250794,0.09830839809827463,-0.08574905779072599,143,1.2034190619580996,0.1106091640844936,-0.07412200170311542,76,1.2040498005772478,0.11142062781728919,-0.07560723284733281,77,0.9654749557708996
INTENT_MIX_BAND_20,False,简单三来源合并、20个百分点调仓门槛,1.2229258968591001,0.10509389170277143,-0.07687237572528892,126,1.1575507211468796,0.09881791846932465,-0.08185429812595871,126,1.2509558955726625,0.11287597421364255,-0.07199836073389465,62,1.2401417226982454,0.11258122626833865,-0.07333276463041725,63,0.964625600955733
ZERO_CONFIRM_BAND_15,False,两次归零确认、15个百分点调仓门槛,1.2329611842651458,0.10639131832583741,-0.0773255322031564,100,1.1549573262471355,0.09894080178603044,-0.08268758076904867,100,1.1925285680361395,0.11485542506117573,-0.07891418590233107,57,1.1973085244168942,0.11618293459534837,-0.08039603979121562,58,0.9624644385392797
ZERO_CONFIRM_BAND_00,False,两次归零确认、0个百分点调仓门槛,1.231149616978957,0.10573119050460024,-0.07867548521173333,270,1.1594340958351144,0.09880797097279308,-0.08414550471061157,277,1.153341010746009,0.11047409526799885,-0.07556341231889983,288,1.1552282893634758,0.11136720639957447,-0.07721877730592944,291,0.9611175089550075
INTENT_MIX_BAND_15,False,简单三来源合并、15个百分点调仓门槛,1.2158898079538398,0.10414810047118411,-0.08044316327502797,129,1.1497481985215112,0.09784132722857534,-0.08572344533619389,129,1.1847415289441052,0.10945210720308012,-0.07409199828353752,70,1.196578046978463,0.11122060410073342,-0.0756190204480664,71,0.958123498767926
ZERO_CONFIRM_BAND_20,False,两次归零确认、20个百分点调仓门槛,1.1862385786611815,0.10973346926131158,-0.07828561180235583,91,1.1296238723269705,0.09664144881567568,-0.08339200332085367,93,1.2275024834728505,0.11860753183335461,-0.07892849001636493,53,1.2429768575810605,0.12092277316981989,-0.08041535754027834,54,0.9413532269391421
