period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,lag_exit_confirmation_origins,momentum_exit_confirmation_origins,risk_capped_origins,full_target_origins
evaluation,RETURN_LAG_STATE,BASE,1604,384,1220,0,29,44,36,354,30
evaluation,RETURN_LAG_STATE,STRESS,1604,384,1220,0,29,44,36,354,30
earlier_diagnostic,RETURN_LAG_STATE,BASE,1219,362,857,0,31,31,24,315,47
earlier_diagnostic,RETURN_LAG_STATE,STRESS,1219,362,857,0,31,31,24,315,47
