period,cost,all_factor_rows,decision_origins,lag_correlation_max_error,raw_dividend_returns_reconstructed,independent_statistics_correlation_of_fifty_nine_pairs,full_direction_and_separate_confirmation_counters_equal
evaluation,BASE,3456,1604,1.6653345369377348e-16,True,True,True
evaluation,STRESS,3456,1604,1.6653345369377348e-16,True,True,True
earlier_diagnostic,BASE,1852,1219,1.6653345369377348e-16,True,True,True
earlier_diagnostic,STRESS,1852,1219,1.6653345369377348e-16,True,True,True
