period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,mean_131_budget,maximum_131_budget,positive_131_budget_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,312,1292,0,0.1619101427312796,0.6201157588127411,862,0,0
evaluation,STRESS,1604,312,1292,0,0.1619101427312796,0.6201157588127411,862,0,0
earlier_diagnostic,BASE,1219,302,917,0,0.21839210928619535,0.7196746900353842,731,0,0
earlier_diagnostic,STRESS,1219,308,911,0,0.21839210928619535,0.7196746900353842,731,0,0
