period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,301,31,35,0,0,0.06145547926551384
evaluation,STRESS,301,31,35,0,0,0.06149251702100085
earlier_diagnostic,BASE,302,20,17,0,0,0.11337488663855581
earlier_diagnostic,STRESS,308,20,17,0,0,0.11705214487437679
