period,cost,cycles,losing_cycles,total_net_profit,largest_three_positive_profit,largest_three_vs_total
evaluation,BASE,23,9,66402.07264000003,39427.26572,0.5937655882182413
evaluation,STRESS,23,9,62749.8342,38583.961679999986,0.6148854761436164
earlier_diagnostic,BASE,10,3,58814.47285999994,54237.15180000001,0.9221735597138541
earlier_diagnostic,STRESS,10,3,61359.861000000004,58283.131959999984,0.9498576269590959
