period,cost,decision_origins,positive_131_budget_origins,mean_131_budget,maximum_131_budget,zero_both_amplitudes_origins,economic_ledger_2015_2016_exactly_equal139
evaluation,BASE,1604,862,0.16191014273127882,0.6201157588127344,0,
evaluation,STRESS,1604,862,0.16191014273127882,0.6201157588127344,0,
earlier_diagnostic,BASE,1219,731,0.21839210928619424,0.7196746900353841,0,True
earlier_diagnostic,STRESS,1219,731,0.21839210928619424,0.7196746900353841,0,True
