period,cost,year,days,held_closes,net_profit,cumulative_return,return_excess_vs_MODEL_SUPPORT_REFERENCE_ROUTER,net_profit_difference_vs_MODEL_SUPPORT_REFERENCE_ROUTER,return_excess_vs_TREND_REFERENCE_ROUTER,net_profit_difference_vs_TREND_REFERENCE_ROUTER,return_excess_vs_BUY_HOLD,net_profit_difference_vs_BUY_HOLD
evaluation,BASE,2020,243,52,22908.849680000007,0.11454424840000033,0.00699766020000081,1399.5320399999982,-0.007700067099999153,-1540.013420000003,-0.1669441984000002,-33388.83967999998
evaluation,BASE,2021,243,84,16500.943259999982,0.07402551887772879,0.0297365717376179,6690.528799999996,0.0069648563637281224,1449.2538000000004,0.11311600004834699,26519.743259999977
evaluation,BASE,2022,242,36,113.51756000000523,0.00047415587560650785,-2.3361906188901216e-05,-1.5681199999991122,0.010516990909974044,2518.782099999987,0.19601669760602924,48271.51755999999
evaluation,BASE,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09161073352048144,18150.0
evaluation,BASE,2024,242,42,8755.888440000008,0.036555475213339905,-0.00377751776299462,-578.5704400000031,0.016785063328965233,4068.4169399999955,-0.1226524950417025,-19896.911559999993
evaluation,BASE,2025,243,35,13519.154080000015,0.05445141654121066,0.0008562586414653239,615.0866799999949,-0.025253097040560224,-5752.023160000004,-0.13555385142046528,-26120.445919999984
evaluation,BASE,2026,149,52,4603.719620000029,0.017584983124963927,-0.004541022351877144,-1009.0581799999954,0.006176612514036561,1625.5195600000252,-0.002505683090157529,-384.05525999996644
evaluation,STRESS,2020,243,52,22445.1774,0.11222588700000014,0.006826434400000414,1365.2868800000033,-0.007419139599998736,-1483.8279199999888,-0.16857881300000188,-33715.7626
evaluation,STRESS,2021,243,84,15828.371080000026,0.07115627888635934,0.028656493230142743,6432.52312,0.012829103890268367,2767.224799999987,0.11026762818106417,25847.171080000022
evaluation,STRESS,2022,242,36,-128.9085199999962,-0.0005410106191917619,-3.7103176412589534e-05,-12.770079999999325,0.011276174951991513,2671.6480800000045,0.19511016881721,48029.09147999999
evaluation,STRESS,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167400984745655,18150.0
evaluation,STRESS,2024,242,42,7993.398999999992,0.033565311406305254,-0.0038970543839706995,-636.4166000000005,0.020087006360343995,4836.920199999999,-0.125763723670127,-20659.401000000013
evaluation,STRESS,2025,243,35,12763.725999999959,0.051855966895366645,0.0003274350270343618,448.9522799999995,-0.02269691007748098,-4931.10663999998,-0.13827392805153083,-26875.87400000004
evaluation,STRESS,2026,149,52,3848.0692399999925,0.014863047536948226,-0.004636571042748505,-1052.26660000001,0.007898585934324354,2071.8466399999916,-0.004664039247078033,-997.1192400000136
earlier_diagnostic,BASE,2015,244,144,30819.55468000001,0.1540977734000002,0.0,0.0,0.0,0.0,0.09695854580000018,19391.709160000035
earlier_diagnostic,BASE,2016,244,60,3554.641619999984,0.015400088718340088,0.0,0.0,0.0,0.0,0.11208839365623657,23997.241619999975
earlier_diagnostic,BASE,2017,244,60,11780.294039999999,0.05026276026103704,0.01862745177976799,4365.794039999998,-0.04952126404369017,-11606.506459999991,-0.17396503222314963,-31043.905959999967
earlier_diagnostic,BASE,2018,243,18,-2284.249160000015,-0.009279737927368581,-3.409793588504684e-05,-48.75792000000183,-0.005425297137899854,-1290.7246600000117,0.22079394399921803,51509.150839999966
earlier_diagnostic,BASE,2019,244,20,14944.231679999992,0.061279439458010065,-0.005734617465081415,-1109.200439999997,0.01516683191492496,3104.0139999999938,-0.28561268640563764,-47501.917039999986
earlier_diagnostic,STRESS,2015,244,144,30259.894040000006,0.15129947019999812,0.0,0.0,0.0,0.0,0.09491423659999798,18982.84732000005
earlier_diagnostic,STRESS,2016,244,60,3018.005760000002,0.013106953655923181,0.0,0.0,0.0,0.0,0.10986426978355768,23460.60575999999
earlier_diagnostic,STRESS,2017,244,60,11511.571279999996,0.049347028972180906,0.018268714197331892,4261.687279999995,-0.04883186023950947,-11391.393799999998,-0.17505794998234192,-31312.62871999997
earlier_diagnostic,STRESS,2018,243,18,-2631.4283200000154,-0.01074976104319525,-8.641579683998923e-05,-66.59752000000117,-0.00374732656847232,-837.5385999999744,0.2194724060160106,51161.971679999966
earlier_diagnostic,STRESS,2019,244,26,19201.81824000001,0.07929457151679586,-0.0116189827455766,-2432.239600000001,0.019293587463270256,3938.3494000000064,-0.26702214555845405,-43088.52351999997
