date,factor_status,window_start,window_observations,high_age_trading_days,low_age_trading_days,aroon_up,aroon_down,raw_entry,raw_exit
2012-05-28,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,1,,,,,0,False
2012-05-29,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,2,,,,,0,False
2012-05-30,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,3,,,,,0,False
2012-05-31,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,4,,,,,0,False
2012-06-01,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,5,,,,,0,False
2012-06-04,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,6,,,,,0,False
2012-06-05,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,7,,,,,0,False
2012-06-06,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,8,,,,,0,False
2012-06-07,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,9,,,,,0,False
2012-06-08,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,10,,,,,0,False
2012-06-11,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,11,,,,,0,False
2012-06-12,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,12,,,,,0,False
2012-06-13,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,13,,,,,0,False
2012-06-14,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,14,,,,,0,False
2012-06-15,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,15,,,,,0,False
2012-06-18,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,16,,,,,0,False
2012-06-19,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,17,,,,,0,False
2012-06-20,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,18,,,,,0,False
2012-06-21,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,19,,,,,0,False
2012-06-25,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,20,,,,,0,False
2012-06-26,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,21,,,,,0,False
2012-06-27,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,22,,,,,0,False
2012-06-28,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,23,,,,,0,False
2012-06-29,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,24,,,,,0,False
2012-07-02,NO_VIEW_INSUFFICIENT_EXTREMA_WINDOW,,25,,,,,0,False
2012-07-03,AROON_TIME_FACTORS_AVAILABLE,2012-05-28,26,24.0,2.0,4.0,92.0,0,True
2012-07-04,AROON_TIME_FACTORS_AVAILABLE,2012-05-29,26,25.0,3.0,0.0,88.0,0,True
2012-07-05,AROON_TIME_FACTORS_AVAILABLE,2012-05-30,26,23.0,4.0,8.0,84.0,0,True
2012-07-06,AROON_TIME_FACTORS_AVAILABLE,2012-05-31,26,24.0,5.0,4.0,80.0,0,True
2012-07-09,AROON_TIME_FACTORS_AVAILABLE,2012-06-01,26,25.0,0.0,0.0,100.0,0,True
2012-07-10,AROON_TIME_FACTORS_AVAILABLE,2012-06-04,26,15.0,0.0,40.0,100.0,0,True
2012-07-11,AROON_TIME_FACTORS_AVAILABLE,2012-06-05,26,16.0,0.0,36.0,100.0,0,True
2012-07-12,AROON_TIME_FACTORS_AVAILABLE,2012-06-06,26,17.0,1.0,32.0,96.0,0,True
2012-07-13,AROON_TIME_FACTORS_AVAILABLE,2012-06-07,26,18.0,2.0,28.0,92.0,0,True
2012-07-16,AROON_TIME_FACTORS_AVAILABLE,2012-06-08,26,19.0,3.0,24.0,88.0,0,True
2012-07-17,AROON_TIME_FACTORS_AVAILABLE,2012-06-11,26,20.0,0.0,20.0,100.0,0,True
