period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_factor_origins,mean_exposure,completed_cycles,raw_entry_origins
evaluation,BASE,625,24,24,0,0,0.3886631713334467,24,396
evaluation,STRESS,625,24,24,0,0,0.3885890165038751,24,396
earlier_diagnostic,BASE,539,21,21,0,0,0.44137016757878894,21,370
earlier_diagnostic,STRESS,539,21,21,0,0,0.4414186561664606,21,370
