period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,exact_zero_slope_origins,risk_capped_origins,full_target_origins
evaluation,MEDIAN_SLOPE_RISK,BASE,1604,841,763,0,1,783,58
evaluation,MEDIAN_SLOPE_RISK,STRESS,1604,841,763,0,1,783,58
earlier_diagnostic,MEDIAN_SLOPE_RISK,BASE,1219,738,481,0,2,624,114
earlier_diagnostic,MEDIAN_SLOPE_RISK,STRESS,1219,738,481,0,2,624,114
