period,cost,all_factor_rows,decision_origins,slope_max_error,volatility_max_error,raw_total_wealth_reconstructed,independent_scipy_theil_sen
evaluation,BASE,3456,1604,0.0,2.8102520310824275e-15,True,True
evaluation,STRESS,3456,1604,0.0,2.8102520310824275e-15,True,True
earlier_diagnostic,BASE,1852,1219,0.0,2.8102520310824275e-15,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,2.8102520310824275e-15,True,True
