period,cost,positive_signal_episodes,fills,maximum_target_error
evaluation,BASE,30,89,3.3306690738754696e-16
evaluation,STRESS,30,89,3.3306690738754696e-16
earlier_diagnostic,BASE,16,51,2.220446049250313e-16
earlier_diagnostic,STRESS,16,53,1.1102230246251565e-16
