period,cost,model,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference,annual_return_difference
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,ENTRY_VINTAGE_EXIT,-34394.92702000018,-35195.8,-1484.1000000000004,-577.6729799999996,-1707.300000000011,-0.042025802654066635,-0.018650515408860334
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,VINTAGE_REFERENCE_RISK,22885.3495199999,21639.700000000004,2142.7000000000007,216.9504800000002,680.0999999999603,0.09622623062594327,0.013526681281879387
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,SECOND_MOMENT_RISK_CONTROL,25644.90381999992,24222.20000000001,2467.8999999999996,252.09618000000023,793.0999999999458,0.10915357634678857,0.015226629931399734
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,ENTRY_VINTAGE_EXIT,-60039.8308400001,-59418.000000000015,-3952.0,-829.7691599999998,-2500.399999999957,-0.1511793790008552,-0.03387714534026007
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,VINTAGE_REFERENCE_RISK,-2759.554300000018,-2582.5000000000073,-325.1999999999989,-35.14570000000003,-112.99999999998545,-0.012927345720845307,-0.001699948649520347
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,ENTRY_VINTAGE_EXIT,-31755.614040000248,-34498.70000000001,-1390.8999999999996,-1124.1859599999998,-3009.80000000001,-0.042604060833267954,-0.017585824369720858
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,VINTAGE_REFERENCE_RISK,21956.913639999664,21483.79999999999,2084.7000000000007,427.08636000000024,1184.5000000000036,0.1017843134925771,0.01320856932101551
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,SECOND_MOMENT_RISK_CONTROL,24584.59987999982,24052.899999999994,2401.1000000000004,496.60012000000006,1372.8000000000175,0.11592122759542156,0.014854586311430433
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,ENTRY_VINTAGE_EXIT,-56340.21392000007,-58551.600000000006,-3792.0,-1620.7860799999999,-4382.600000000028,-0.15852528842868951,-0.03244041068115129
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,VINTAGE_REFERENCE_RISK,-2627.6862400001555,-2569.100000000006,-316.39999999999964,-69.51375999999982,-188.30000000001382,-0.014136914102844456,-0.0016460169904149238
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,ENTRY_VINTAGE_EXIT,-31958.944099999906,-31768.199999999997,-1032.5,-212.85590000000002,-628.8999999999633,0.1645394815882325,-0.023629680206110684
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,VINTAGE_REFERENCE_RISK,10870.91882000002,11487.900000000023,262.5,228.08117999999996,651.4000000000326,-0.11482064456142171,0.008543675668044572
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,SECOND_MOMENT_RISK_CONTROL,13674.746160000039,14284.700000000026,266.0,226.05384000000004,649.9000000000308,-0.09144465180463279,0.010793229607515498
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,ENTRY_VINTAGE_EXIT,-45633.690259999945,-46052.90000000002,-1298.5,-438.90974000000006,-1278.799999999994,0.2559841333928653,-0.03442290981362618
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,VINTAGE_REFERENCE_RISK,-2803.827340000018,-2796.800000000003,-3.5,2.027339999999924,1.500000000001819,-0.02337599275678892,-0.002249553939470926
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,ENTRY_VINTAGE_EXIT,-31450.067480000027,-32055.199999999997,-1032.5,-419.93251999999984,-1217.699999999997,0.17412472107243626,-0.023032840031698573
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,VINTAGE_REFERENCE_RISK,12872.523600000015,14313.700000000012,262.5,455.3764000000001,1248.3000000000166,-0.10675920766655345,0.01003617100885449
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,SECOND_MOMENT_RISK_CONTROL,15291.152280000097,16717.000000000022,266.0,452.3477200000001,1239.500000000019,-0.0896250214681541,0.011965478081310973
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,ENTRY_VINTAGE_EXIT,-46741.219760000124,-48772.20000000002,-1298.5,-872.2802399999999,-2457.200000000016,0.26374974254059036,-0.03499831811300955
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,VINTAGE_REFERENCE_RISK,-2418.6286800000817,-2403.30000000001,-3.5,3.0286800000000085,8.799999999997453,-0.017134186198399348,-0.0019293070724564834
