period,cost,model,net_sharpe,complete_cycles,same_holding_calendar_as_128,gross_price_dividend_profit,total_fees
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,0.8418517897015924,20,True,84509.90000000004,6351.549959999952
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,0.7326982133548038,20,True,57819.800000000025,5306.353780000006
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,0.7888771896511613,20,True,83849.30000000002,11637.629720000059
evaluation,STRESS,SECOND_MOMENT_RISK_CONTROL,0.6729559620557397,20,True,57395.300000000025,9768.229600000042
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,0.9305789082229796,9,True,75892.00000000001,2783.7666800000397
earlier_diagnostic,BASE,SECOND_MOMENT_RISK_CONTROL,1.0220235600276124,9,True,61341.29999999999,1907.8128400000091
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,0.9538729798857059,9,True,82264.30000000002,5457.718880000006
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,1.04349800135386,9,True,65281.299999999996,3765.871159999987
