period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,7,2021-10-29,2021-10-28,237816.7665,9953.00000000003,97.28018,288.60000000001094,0.0,31,3,2,2021-12-13,2021-12-10,False,9567.119820000018,0.040228954252474955
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,8,2022-05-13,2022-05-12,118845.96444,5540.099999999991,48.605520000000006,156.89999999998273,0.0,17,2,1,2022-06-08,2022-06-07,False,5334.594480000009,0.04488662703135542
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,9,2022-08-10,2022-08-09,204662.12424,-2085.7999999999884,81.37264,293.4000000000111,0.0,21,2,2,2022-09-08,2022-09-07,False,-2460.5726399999994,-0.012022608722240043
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,10,2024-02-19,2024-02-08,112780.95168,3406.7999999999884,45.758,133.5999999999853,0.0,5,1,1,2024-02-26,2024-02-23,False,3227.442000000003,0.02861690695036351
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,11,2024-06-18,2024-06-17,233347.36014,-525.6000000000058,93.16260000000001,262.80000000000024,0.0,22,1,1,2024-07-18,2024-07-17,False,-881.5626000000061,-0.003777898320645669
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,12,2024-08-02,2024-08-01,232507.19214,-11655.400000000023,90.59904,270.79999999999524,0.0,29,3,2,2024-09-12,2024-09-11,False,-12016.799040000018,-0.05168355838542973
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,13,2024-09-25,2024-09-24,119765.24826000001,14697.399999999994,50.803700000000006,161.49999999999108,0.0,3,1,2,2024-09-30,2024-09-27,False,14485.096300000003,0.12094573768639556
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,14,2025-04-10,2025-04-09,90146.42568,2383.600000000006,36.5092,94.40000000000009,0.0,17,1,1,2025-05-08,2025-05-07,False,2252.6908000000058,0.02498924148137124
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,15,2025-06-03,2025-05-30,236532.49704000002,2935.0999999999767,95.13318000000001,239.60000000000022,5271.2,17,1,1,2025-06-26,2025-06-25,False,7871.566819999977,0.03327900782558777
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,16,2025-12-19,2025-12-18,219874.66614,11058.0,90.08760000000001,281.40000000001066,0.0,11,2,1,2026-01-07,2026-01-06,False,10686.512399999989,0.04860274531671423
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,17,2026-01-16,2026-01-15,230339.32904,-11042.699999999983,89.92262,282.6000000000107,5153.7,13,2,1,2026-02-04,2026-02-03,False,-6261.522619999993,-0.027183905788458022
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,18,2026-05-06,2026-04-30,197208.4338,2033.9000000000524,79.22602,241.80000000000916,0.0,5,2,1,2026-05-13,2026-05-12,False,1712.873980000043,0.008685602065767448
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,19,2026-06-05,2026-06-04,164584.9104,2082.0999999999767,66.19702000000001,200.99999999998346,0.0,10,1,2,2026-06-22,2026-06-18,False,1814.9029799999932,0.011027152948524455
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,20,2026-07-23,2026-07-22,89825.56152,-695.5999999999913,35.76136,112.80000000000427,0.0,16,1,1,2026-08-14,2026-08-13,True,-844.1613599999955,-0.009397785504653259
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,1,2020-02-05,2020-02-04,43958.37632,3932.4000000000087,36.683840000000004,104.40000000000396,0.0,13,1,1,2020-02-24,2020-02-21,False,3791.316160000005,0.08624786621782132
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,2,2020-07-01,2020-06-30,203393.3248,30749.0,174.7552,484.99999999998965,0.0,4,1,1,2020-07-07,2020-07-06,False,30089.24480000001,0.14793624534918862
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,3,2020-08-19,2020-08-18,183143.62816000002,-5551.899999999994,144.08436,378.0000000000076,0.0,30,2,2,2020-09-30,2020-09-29,False,-6073.984360000001,-0.03316514159418955
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,4,2021-01-05,2021-01-04,227575.59384000002,11595.0,186.42264,507.60000000001924,0.0,7,2,1,2021-01-14,2021-01-13,False,10900.97735999998,0.04790046760314753
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,5,2021-02-03,2021-02-02,114383.33503999999,5220.8000000000175,93.45856,249.60000000000946,0.0,7,1,1,2021-02-19,2021-02-18,False,4877.741440000008,0.042643812040401304
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,6,2021-06-08,2021-06-07,243137.7162,-14704.699999999968,188.3406,524.8000000000025,0.0,35,1,5,2021-07-28,2021-07-27,False,-15417.84059999997,-0.06341196602882285
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,7,2021-10-29,2021-10-28,227943.1408,10060.00000000003,186.10320000000002,506.0000000000008,0.0,31,2,1,2021-12-13,2021-12-10,False,9367.89680000003,0.041097515666064864
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,8,2022-05-13,2022-05-12,189691.64632000003,6456.299999999988,154.09592,448.100000000004,0.0,17,3,1,2022-06-08,2022-06-07,False,5854.104079999985,0.03086115911569671
