period,cost,decision_origins,source_holding_origins,positive_131_budget_origins,mean_131_budget,maximum_131_budget,prediction_nan_preserved,actual_close_shares_joined,future_exit_date_used
evaluation,BASE,1604,313,284,0.05794848856147107,0.6470223299560541,True,True,False
evaluation,STRESS,1604,313,284,0.05850386886374597,0.6478530549511422,True,True,False
earlier_diagnostic,BASE,1219,276,65,0.021639706403769065,0.7170415855631942,True,True,False
earlier_diagnostic,STRESS,1219,282,70,0.022050758517783018,0.717693827513778,True,True,False
