period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,339,41,43,0,0,0.08830281831812425
evaluation,STRESS,339,41,43,0,0,0.08935526847180728
earlier_diagnostic,BASE,302,20,19,0,0,0.12046579103111403
earlier_diagnostic,STRESS,308,20,19,0,0,0.12456082571873149
