period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,allocation_states,mean_131_budget,maximum_131_budget,positive_131_budget_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,350,1254,0,"{'REFERENCE_FLAT_USE143_WITHOUT_LEARNING': 1291, 'PREDICTION_AMPLITUDE_BUDGET_AVAILABLE': 313}",0.057948488561471445,0.6470223299560549,284,0,0
evaluation,STRESS,1604,350,1254,0,"{'REFERENCE_FLAT_USE143_WITHOUT_LEARNING': 1291, 'PREDICTION_AMPLITUDE_BUDGET_AVAILABLE': 313}",0.05850386886374634,0.6478530549511428,284,0,0
earlier_diagnostic,BASE,1219,302,917,0,"{'REFERENCE_FLAT_USE143_WITHOUT_LEARNING': 943, 'NO_MATURE_MODEL_USE143_WITHOUT_LEARNING': 204, 'PREDICTION_AMPLITUDE_BUDGET_AVAILABLE': 72}",0.021639706403769166,0.7170415855631974,65,0,0
earlier_diagnostic,STRESS,1219,308,911,0,"{'REFERENCE_FLAT_USE143_WITHOUT_LEARNING': 937, 'NO_MATURE_MODEL_USE143_WITHOUT_LEARNING': 204, 'PREDICTION_AMPLITUDE_BUDGET_AVAILABLE': 78}",0.02205075851778312,0.7176938275137813,70,0,0
