period,cost,entry_date,exit_date_new,exit_date_old,net_profit_cny_new,net_profit_cny_old,exit_reasons_new,exit_reasons_old
evaluation,BASE,2020-02-05,2020-03-06,2020-02-24,19874.44799999997,17551.712640000012,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-02-03,2021-03-01,2021-02-19,-5506.9270399999805,11215.207079999993,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-10-29,2021-12-10,2021-12-13,8674.28297999996,10329.403900000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2022-05-13,2022-06-09,2022-06-08,13045.288319999992,11954.959680000058,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-18,2024-07-19,2024-07-18,747.8080400000035,-999.6410000000031,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-04-10,2025-05-09,2025-05-08,8777.110140000004,7101.703200000047,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2020-02-05,2020-03-06,2020-02-24,19542.213999999974,17224.341519999987,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-02-03,2021-03-01,2021-02-19,-5862.5843199999945,10763.862119999976,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-10-29,2021-12-10,2021-12-13,8279.398400000005,9885.849600000016,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2022-05-13,2022-06-09,2022-06-08,12582.545119999995,11471.807519999971,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-06-18,2024-07-19,2024-07-18,359.2616799999669,-1380.6787999999651,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-04-10,2025-05-09,2025-05-08,8217.267560000008,6563.138000000035,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2019-02-28,2019-03-07,2019-03-06,11786.915159999977,10195.433519999904,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2019-02-28,2019-03-07,2019-03-06,11235.029960000014,9662.759120000002,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
