period,cost,comparison,terminal_nav_difference,sharpe_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,ENTRY_VINTAGE_EXIT,-11680.534640000202,-0.12114038121233894,-11433.899999999994,-532.8000000000011,-72.66535999999996,-213.49999999994452
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-67734.53400000004,-0.5436995672353605,-74277.49999999996,756.3999999999996,-1390.866,-4395.69999999991
evaluation,BASE,BUY_HOLD,47621.67817999996,0.4748378204881266,65516.20000000001,-9920.300000000003,1994.1218199999998,5980.100000000008
evaluation,STRESS,ENTRY_VINTAGE_EXIT,-11320.101560000156,-0.11760074020163735,-11311.999999999985,-520.5,-140.09843999999975,-372.3000000000029
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-61293.637120000145,-0.5088022686566003,-72348.29999999997,721.2000000000007,-2677.8628800000006,-7655.599999999933
evaluation,STRESS,BUY_HOLD,39675.45427999992,0.4269720799725642,64503.70000000001,-10224.500000000002,3927.3457200000003,10676.400000000078
earlier_diagnostic,BASE,ENTRY_VINTAGE_EXIT,1674.481880000094,0.008954276797217386,1677.0,0.0,0.9181199999999308,1.5999999999667125
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-14803.55529999989,-0.2937734541203725,-19130.29999999993,721.0,-884.0447000000001,-2721.700000000058
earlier_diagnostic,BASE,BUY_HOLD,64279.46505999993,0.49627171727941244,82669.7,-15124.199999999997,842.83494,2423.1999999999757
earlier_diagnostic,STRESS,ENTRY_VINTAGE_EXIT,1721.2522400000016,0.009013347561878882,1727.3999999999942,0.0,2.1477599999998347,4.0
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-10851.001080000016,-0.26696631597432285,-18348.199999999968,721.0,-1756.8989200000005,-5019.299999999936
earlier_diagnostic,STRESS,BUY_HOLD,67822.31236000007,0.511053832194424,89379.4,-15124.199999999997,1674.5876399999997,4758.300000000009
