fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_normal_equation_error,nonzero_factor_count
1157,2017-03-01,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157,False,3.5865407865820487e-16,20
1180,2017-04-05,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157,True,3.5865407865820487e-16,20
1198,2017-05-02,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157,True,3.5865407865820487e-16,20
1218,2017-06-01,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218,False,5.113097445441639e-16,20
1240,2017-07-03,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218,True,5.113097445441639e-16,20
1261,2017-08-01,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218,True,5.113097445441639e-16,20
1284,2017-09-01,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284,False,3.0834709785487746e-16,20
1305,2017-10-09,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284,True,3.0834709785487746e-16,20
1322,2017-11-01,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284,True,3.0834709785487746e-16,20
1344,2017-12-01,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344,False,3.677613769070831e-16,20
1365,2018-01-02,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344,True,3.677613769070831e-16,20
1387,2018-02-01,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344,True,3.677613769070831e-16,20
1402,2018-03-01,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,False,4.2674197509029455e-16,20
1424,2018-04-02,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1442,2018-05-02,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1464,2018-06-01,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1484,2018-07-02,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1506,2018-08-01,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1529,2018-09-03,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1548,2018-10-08,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402,True,4.2674197509029455e-16,20
1566,2018-11-01,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,False,6.565928356572215e-16,20
1588,2018-12-03,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1608,2019-01-02,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1630,2019-02-01,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1645,2019-03-01,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1666,2019-04-01,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1687,2019-05-06,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566,True,6.565928356572215e-16,20
1707,2019-06-03,dfece08bd538ad22e2e30752a01d595d95572ea4813a7089c9c0c41f364d5e91,1707,False,6.6418225086462e-16,20
1726,2019-07-01,dfece08bd538ad22e2e30752a01d595d95572ea4813a7089c9c0c41f364d5e91,1707,True,6.6418225086462e-16,20
1749,2019-08-01,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,False,6.349087922075114e-16,20
1771,2019-09-02,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1791,2019-10-08,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1809,2019-11-01,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1830,2019-12-02,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1852,2020-01-02,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1868,2020-02-03,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1888,2020-03-02,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749,True,6.349087922075114e-16,20
1910,2020-04-01,dce78acc00d0e0dd4ff9f014e4646350ee639c59989f61f5c175bac59df7a4d4,1910,False,6.591949208711867e-16,20
1931,2020-05-06,dce78acc00d0e0dd4ff9f014e4646350ee639c59989f61f5c175bac59df7a4d4,1910,True,6.591949208711867e-16,20
1949,2020-06-01,efb0f0dfc4f345bf284f75f725b4105cfa9a54f17fd45e30ed81e38a7d9b2cb5,1949,False,6.843484112728504e-16,20
1969,2020-07-01,efb0f0dfc4f345bf284f75f725b4105cfa9a54f17fd45e30ed81e38a7d9b2cb5,1949,True,6.843484112728504e-16,20
1992,2020-08-03,efb0f0dfc4f345bf284f75f725b4105cfa9a54f17fd45e30ed81e38a7d9b2cb5,1949,True,6.843484112728504e-16,20
2013,2020-09-01,efb0f0dfc4f345bf284f75f725b4105cfa9a54f17fd45e30ed81e38a7d9b2cb5,1949,True,6.843484112728504e-16,20
2035,2020-10-09,9d88ba6c0b6a8841f02d5fa23f3393c1b586ef0a09441b4e06590fda2e4917dd,2035,False,1.2218958483911635e-15,20
2051,2020-11-02,9d88ba6c0b6a8841f02d5fa23f3393c1b586ef0a09441b4e06590fda2e4917dd,2035,True,1.2218958483911635e-15,20
2072,2020-12-01,9d88ba6c0b6a8841f02d5fa23f3393c1b586ef0a09441b4e06590fda2e4917dd,2035,True,1.2218958483911635e-15,20
2095,2021-01-04,9d88ba6c0b6a8841f02d5fa23f3393c1b586ef0a09441b4e06590fda2e4917dd,2035,True,1.2218958483911635e-15,20
2115,2021-02-01,9d88ba6c0b6a8841f02d5fa23f3393c1b586ef0a09441b4e06590fda2e4917dd,2035,True,1.2218958483911635e-15,20
2130,2021-03-01,b224467a4c83ce451899986b74c0d5eba08d4707960778f083f4a99f6e1be270,2130,False,6.72639027810007e-16,20
2153,2021-04-01,b224467a4c83ce451899986b74c0d5eba08d4707960778f083f4a99f6e1be270,2130,True,6.72639027810007e-16,20
2174,2021-05-06,b224467a4c83ce451899986b74c0d5eba08d4707960778f083f4a99f6e1be270,2130,True,6.72639027810007e-16,20
