period,cost,year,return_difference_vs128
evaluation,BASE,2020,0.0
evaluation,BASE,2021,-0.018558419223277677
evaluation,BASE,2022,9.026041267418822e-06
evaluation,BASE,2023,0.0
evaluation,BASE,2024,-0.0001307428343452488
evaluation,BASE,2025,2.6341673661292586e-05
evaluation,BASE,2026,1.686360329159267e-05
evaluation,STRESS,2020,0.0
evaluation,STRESS,2021,-0.004824626330784371
evaluation,STRESS,2022,-3.421969457913232e-06
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,2.4088954923368044e-05
evaluation,STRESS,2025,-7.850542782850134e-06
evaluation,STRESS,2026,-6.235595322891946e-06
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,0.0
earlier_diagnostic,BASE,2018,0.0
earlier_diagnostic,BASE,2019,-0.010046423054800857
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,0.0
earlier_diagnostic,STRESS,2018,0.0
earlier_diagnostic,STRESS,2019,-0.03717468478359967
