period,cost,days,cycles,net_sharpe,net_profit
evaluation,BASE,1604,20,0.8589389376319279,106987.77874000004
evaluation,STRESS,1604,20,0.8226086108670311,102558.7976799999
earlier_diagnostic,BASE,1219,9,0.7509016391353694,102269.4575999999
earlier_diagnostic,STRESS,1219,9,0.7273144745680817,98019.38772000012
