period,cost,comparison,terminal_nav_difference,sharpe_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,ENTRY_VINTAGE_EXIT,-5565.49832000013,-0.024938654723731135,-5436.400000000009,-249.70000000000073,-30.80167999999958,-89.79999999999836
evaluation,BASE,WITHIN_CYCLE_EXIT,-5565.49832000013,-0.024938654723731135,-5436.400000000009,-249.70000000000073,-30.80167999999958,-89.79999999999836
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,40585.70609999995,-0.432052750683082,33679.50000000003,11440.599999999999,1117.0939000000003,3417.300000000012
evaluation,BASE,BUY_HOLD,53736.71450000003,0.5710395469767344,71513.7,-9637.200000000003,2035.9855000000002,6103.799999999954
evaluation,STRESS,ENTRY_VINTAGE_EXIT,-1408.486640000192,-0.008872639617398148,-1395.1999999999825,-63.30000000000109,-13.813360000000102,-36.20000000000073
evaluation,STRESS,WITHIN_CYCLE_EXIT,-1408.486640000192,-0.008872639617398148,-1395.1999999999825,-63.30000000000109,-13.813360000000102,-36.20000000000073
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,39808.96347999998,-0.40924016364589366,36870.30000000005,11331.599999999999,2258.0365199999997,6134.900000000046
evaluation,STRESS,BUY_HOLD,49587.06919999988,0.5357001805568034,74420.50000000001,-9767.300000000003,4053.6308,11012.50000000008
earlier_diagnostic,BASE,ENTRY_VINTAGE_EXIT,-2797.7198199999402,-0.015137787499377664,-2802.100000000006,0.0,-1.5801800000000412,-2.800000000033833
earlier_diagnostic,BASE,WITHIN_CYCLE_EXIT,338.80523999984143,-0.0006849510932627201,348.6000000000058,0.0,2.594759999999951,7.199999999966167
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,43454.98473999993,-0.27122104070721476,43632.10000000001,1295.0,378.5152599999999,1093.5999999999424
earlier_diagnostic,BASE,BUY_HOLD,59807.263359999895,0.4721796529828174,78190.59999999999,-15124.199999999997,840.33664,2418.799999999975
earlier_diagnostic,STRESS,ENTRY_VINTAGE_EXIT,-10237.260879999958,-0.05243378424518785,-10249.000000000015,0.0,-6.139119999999821,-5.599999999998545
earlier_diagnostic,STRESS,WITHIN_CYCLE_EXIT,333.20879999996396,-0.0006151760322224975,352.8000000000029,0.0,5.191200000000208,14.400000000036016
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,36659.52672000014,-0.31647542826479347,38248.19999999999,1295.0,748.0732800000001,2135.599999999997
earlier_diagnostic,STRESS,BUY_HOLD,55863.79924000011,0.4496067003873572,77402.99999999999,-15124.199999999997,1666.30076,4748.700000000011
