period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests
evaluation,BASE,309,309,0,14,20,0
evaluation,STRESS,312,312,0,14,20,0
earlier_diagnostic,BASE,275,71,204,3,9,0
earlier_diagnostic,STRESS,275,71,204,3,9,0
