fit_index,fit_origin,source_input_identity,first_fit_index,reused,rho,coefficient_joint_solution_max_error
1868,2020-02-03,0745f1ae799cf1d89a0021434ab74818c097b09c1f9d5d0b7def7fd6175fa3f7,1749,True,0.668569374962179,1.1102230246251565e-16
1888,2020-03-02,0745f1ae799cf1d89a0021434ab74818c097b09c1f9d5d0b7def7fd6175fa3f7,1749,True,0.668569374962179,1.1102230246251565e-16
1910,2020-04-01,c8c557244b932aa5bd249021f31e769d413b237bedb8283deb108f0077016127,1910,False,0.642449672192882,2.220446049250313e-16
1931,2020-05-06,c8c557244b932aa5bd249021f31e769d413b237bedb8283deb108f0077016127,1910,True,0.642449672192882,2.220446049250313e-16
1949,2020-06-01,a8676d4f6ae43a476068cbf7e1d9a27702e90cd9fb5a6a6e9440899d6356f125,1949,False,0.6059421554183629,2.7755575615628914e-16
1969,2020-07-01,a8676d4f6ae43a476068cbf7e1d9a27702e90cd9fb5a6a6e9440899d6356f125,1949,True,0.6059421554183629,2.7755575615628914e-16
1992,2020-08-03,a8676d4f6ae43a476068cbf7e1d9a27702e90cd9fb5a6a6e9440899d6356f125,1949,True,0.6059421554183629,2.7755575615628914e-16
2013,2020-09-01,a8676d4f6ae43a476068cbf7e1d9a27702e90cd9fb5a6a6e9440899d6356f125,1949,True,0.6059421554183629,2.7755575615628914e-16
2035,2020-10-09,5b5d9ddb68084f8c8c1a1cc877f4b0eb08fdce894ee8cc00653d893fdaa21562,2035,False,0.6016434549419216,2.7755575615628914e-16
2051,2020-11-02,5b5d9ddb68084f8c8c1a1cc877f4b0eb08fdce894ee8cc00653d893fdaa21562,2035,True,0.6016434549419216,2.7755575615628914e-16
2072,2020-12-01,5b5d9ddb68084f8c8c1a1cc877f4b0eb08fdce894ee8cc00653d893fdaa21562,2035,True,0.6016434549419216,2.7755575615628914e-16
2095,2021-01-04,5b5d9ddb68084f8c8c1a1cc877f4b0eb08fdce894ee8cc00653d893fdaa21562,2035,True,0.6016434549419216,2.7755575615628914e-16
2115,2021-02-01,5b5d9ddb68084f8c8c1a1cc877f4b0eb08fdce894ee8cc00653d893fdaa21562,2035,True,0.6016434549419216,2.7755575615628914e-16
2130,2021-03-01,d1bd63edc8891e746a1271e68094f45731752735561d96fdea92591340b61429,2130,False,0.592724710182112,2.220446049250313e-16
2153,2021-04-01,d1bd63edc8891e746a1271e68094f45731752735561d96fdea92591340b61429,2130,True,0.592724710182112,2.220446049250313e-16
2174,2021-05-06,d1bd63edc8891e746a1271e68094f45731752735561d96fdea92591340b61429,2130,True,0.592724710182112,2.220446049250313e-16
2192,2021-06-01,d1bd63edc8891e746a1271e68094f45731752735561d96fdea92591340b61429,2130,True,0.592724710182112,2.220446049250313e-16
2213,2021-07-01,d1bd63edc8891e746a1271e68094f45731752735561d96fdea92591340b61429,2130,True,0.592724710182112,2.220446049250313e-16
2235,2021-08-02,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,False,0.5581276739177751,1.8041124150158794e-16
2257,2021-09-01,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,True,0.5581276739177751,1.8041124150158794e-16
2277,2021-10-08,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,True,0.5581276739177751,1.8041124150158794e-16
2293,2021-11-01,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,True,0.5581276739177751,1.8041124150158794e-16
2315,2021-12-01,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,True,0.5581276739177751,1.8041124150158794e-16
2338,2022-01-04,2b893f9dfda016b7a5000b44286cc82a1d7696e8958119a8f37a1b6e9f273cef,2235,True,0.5581276739177751,1.8041124150158794e-16
2357,2022-02-07,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,False,0.5967797589669825,5.551115123125783e-16
2373,2022-03-01,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2396,2022-04-01,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2415,2022-05-05,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2434,2022-06-01,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2455,2022-07-01,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2476,2022-08-01,480d0e2a68cceeca547bbaaa9b9df7c12eaf163025b603097781ca8eefa5fd9c,2357,True,0.5967797589669825,5.551115123125783e-16
2499,2022-09-01,dacc02e5bd9cac3af381fd60db1ac3ac602fc0fde437ee51b206a3f29739288a,2499,False,0.3450285086385591,2.3592239273284576e-16
2520,2022-10-10,e780a0fe2b6ca2a9c48ca6e42185e5a9a6ba7787c73668b5ccbe6fc6b16032d2,2520,False,0.3495685826165458,1.1449174941446927e-16
