period,cost,control,full_day_net_return_correlation,both_held_closes,new_only_held_closes,control_only_held_closes
evaluation,BASE,REARM_RIDGE,0.4466793777822711,65,208,187
evaluation,BASE,PANIC_LEARNED_HALF,0.45127826688055306,65,208,197
evaluation,STRESS,REARM_RIDGE,0.443882721362608,65,208,187
evaluation,STRESS,PANIC_LEARNED_HALF,0.448994194875306,65,208,197
earlier_diagnostic,BASE,REARM_RIDGE,0.23384150508321808,97,241,202
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,0.27208985310728795,107,231,232
earlier_diagnostic,STRESS,REARM_RIDGE,0.23369468171177085,97,241,202
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,0.2712243898723712,107,231,232
