period,cost,cycles,positive_cycles,positive_profit_sum,nonpositive_profit_sum,total_profit,largest_cycle_profit,largest_share_of_positive_profits,two_largest_share_of_positive_profits
evaluation,BASE,25,5,119604.01894000004,-50102.20089999997,69501.81804000007,54719.54784000004,0.4575059293571931,0.7617147526263554
evaluation,STRESS,25,5,115763.69696000006,-55729.133519999945,60034.563440000114,54211.78880000004,0.46829697239828033,0.769497834461696
earlier_diagnostic,BASE,21,5,68846.31603999992,-66040.30465999997,2806.0113799999526,49968.398999999976,0.7257962644067721,0.8997216011385588
earlier_diagnostic,STRESS,21,5,65735.12431999997,-69534.6368399999,-3799.512519999931,48222.88799999998,0.7335939271256252,0.9094068916488212
