period,cost,model,completed_round_trips,positive_cycles,holding_decision_rows,locked_price_no_view_rows,holding_closes_with_different_market_anchor,exits_with_locked_price_reason,different_actual_anchor_dates,mean_holding_intervals
evaluation,BASE,LOW_ANCHORED_RECLAIM,25,5,273,0,1,22,13,10.92
evaluation,STRESS,LOW_ANCHORED_RECLAIM,25,5,273,0,1,22,13,10.92
earlier_diagnostic,BASE,LOW_ANCHORED_RECLAIM,21,5,338,0,1,17,11,16.095238095238095
earlier_diagnostic,STRESS,LOW_ANCHORED_RECLAIM,21,5,338,0,1,17,11,16.095238095238095
