period,cost,selected_series,nonnegative_feasible,hindsight_constant_mix_sharpe,weight_LOW_ANCHORED_RECLAIM,weight_REARM_RIDGE,weight_PANIC_LEARNED_HALF,best_in_this_period_cost,tradable_account_computed
evaluation,BASE,LOW_ANCHORED_RECLAIM,True,0.5187503522719443,1.0,0.0,0.0,False,False
evaluation,BASE,REARM_RIDGE,True,0.7048682574353747,0.0,1.0,0.0,False,False
evaluation,BASE,PANIC_LEARNED_HALF,True,0.9443907096352272,0.0,0.0,1.0,False,False
evaluation,BASE,LOW_ANCHORED_RECLAIM；REARM_RIDGE,True,0.7407951074511371,0.2623044263372908,0.7376955736627092,0.0,False,False
evaluation,BASE,LOW_ANCHORED_RECLAIM；PANIC_LEARNED_HALF,True,0.9500704319475657,0.05498549240269133,0.0,0.9450145075973087,True,False
evaluation,BASE,REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
evaluation,BASE,LOW_ANCHORED_RECLAIM；REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
evaluation,STRESS,LOW_ANCHORED_RECLAIM,True,0.46230469480936964,1.0,0.0,0.0,False,False
evaluation,STRESS,REARM_RIDGE,True,0.6411361272639545,0.0,1.0,0.0,False,False
evaluation,STRESS,PANIC_LEARNED_HALF,True,0.8790034689617314,0.0,0.0,1.0,False,False
evaluation,STRESS,LOW_ANCHORED_RECLAIM；REARM_RIDGE,True,0.6711095873221613,0.25165822444305935,0.7483417755569407,0.0,False,False
evaluation,STRESS,LOW_ANCHORED_RECLAIM；PANIC_LEARNED_HALF,True,0.8822567786139099,0.04301014820092192,0.0,0.9569898517990781,True,False
evaluation,STRESS,REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
evaluation,STRESS,LOW_ANCHORED_RECLAIM；REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,BASE,LOW_ANCHORED_RECLAIM,True,0.08628404475691151,1.0,0.0,0.0,False,False
earlier_diagnostic,BASE,REARM_RIDGE,True,0.7476976657872066,0.0,1.0,0.0,True,False
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,True,0.6044206723945708,0.0,0.0,1.0,False,False
earlier_diagnostic,BASE,LOW_ANCHORED_RECLAIM；REARM_RIDGE,False,,,,,False,False
earlier_diagnostic,BASE,LOW_ANCHORED_RECLAIM；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,BASE,REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,BASE,LOW_ANCHORED_RECLAIM；REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,STRESS,LOW_ANCHORED_RECLAIM,True,0.03524409329377271,1.0,0.0,0.0,False,False
earlier_diagnostic,STRESS,REARM_RIDGE,True,0.7246974026208266,0.0,1.0,0.0,True,False
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,True,0.5721130310404389,0.0,0.0,1.0,False,False
earlier_diagnostic,STRESS,LOW_ANCHORED_RECLAIM；REARM_RIDGE,False,,,,,False,False
earlier_diagnostic,STRESS,LOW_ANCHORED_RECLAIM；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,STRESS,REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
earlier_diagnostic,STRESS,LOW_ANCHORED_RECLAIM；REARM_RIDGE；PANIC_LEARNED_HALF,False,,,,,False,False
