period,cost,control,terminal_nav_difference,price_pnl_difference,dividend_difference,commission_difference,slippage_difference,reconciliation_error
evaluation,BASE,REARM_RIDGE,-13631.757660000178,-14662.899999999892,630.0,-81.54233999999951,-319.5999999997166,-1.3642420526593924e-12
evaluation,BASE,PANIC_LEARNED_HALF,9922.26675999997,8593.900000000089,5371.5999999999985,1020.3332400000004,3022.900000000158,4.0472514228895307e-11
evaluation,STRESS,REARM_RIDGE,-13796.087280000036,-14784.599999999904,569.1000000000022,-159.21271999999954,-260.2000000000571,-1.9099388737231493e-10
evaluation,STRESS,PANIC_LEARNED_HALF,5261.336960000073,7674.300000000076,5189.100000000001,1985.1630400000008,5616.899999999954,-4.9112713895738125e-11
earlier_diagnostic,BASE,REARM_RIDGE,-100756.88000000003,-99415.09999999999,1052.2999999999995,570.7800000000002,1823.300000000103,6.139089236967266e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-43126.74116000006,-42059.299999999974,2014.7999999999997,768.7411600000001,2313.5000000001055,1.6370904631912708e-11
earlier_diagnostic,STRESS,REARM_RIDGE,-103123.07367999997,-99503.49999999996,963.7999999999995,1107.6736800000008,3475.7000000000353,2.091837814077735e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-46853.2343999999,-42715.59999999995,1926.2999999999997,1497.5344000000007,4566.40000000004,8.913048077374697e-11
